FID,row,column,delx,dely,area,UTM_E,UTM_N,NoFlw_Lay1,NoFlw_Lay2,K_Zone
"45,311",182,88,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,727.000000000000000","4,597,180.000000000000000",1,1,2
"45,312",182,89,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,827.000000000000000","4,597,180.000000000000000",1,1,2
"45,313",182,90,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,927.000000000000000","4,597,180.000000000000000",1,1,2
"45,314",182,91,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,027.000000000000000","4,597,180.000000000000000",1,1,2
"45,315",182,92,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,127.000000000000000","4,597,180.000000000000000",1,1,2
"45,316",182,93,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,227.000000000000000","4,597,180.000000000000000",1,1,2
"45,317",182,94,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,327.000000000000000","4,597,180.000000000000000",1,1,2
"45,318",182,95,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,427.000000000000000","4,597,180.000000000000000",1,1,2
"45,319",182,96,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,527.000000000000000","4,597,180.000000000000000",1,1,2
"45,320",182,97,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,627.000000000000000","4,597,180.000000000000000",1,1,2
"45,321",182,98,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,727.000000000000000","4,597,180.000000000000000",1,1,2
"45,322",182,99,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,827.000000000000000","4,597,180.000000000000000",1,1,2
"45,323",182,100,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,927.000000000000000","4,597,180.000000000000000",1,1,2
"45,324",182,101,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,027.000000000000000","4,597,180.000000000000000",1,1,2
"45,325",182,102,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,127.000000000000000","4,597,180.000000000000000",1,1,2
"45,326",182,103,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,227.000000000000000","4,597,180.000000000000000",1,1,2
"45,327",182,104,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,327.000000000000000","4,597,180.000000000000000",1,1,2
"45,328",182,105,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,427.000000000000000","4,597,180.000000000000000",1,1,2
"45,329",182,106,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,527.000000000000000","4,597,180.000000000000000",1,1,2
"45,330",182,107,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,627.000000000000000","4,597,180.000000000000000",1,1,2
"45,331",182,108,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,727.000000000000000","4,597,180.000000000000000",1,1,2
"45,332",182,109,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,827.000000000000000","4,597,180.000000000000000",1,1,2
"45,333",182,110,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,927.000000000000000","4,597,180.000000000000000",1,1,2
"45,334",182,111,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,027.000000000000000","4,597,180.000000000000000",1,1,2
"45,335",182,112,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,127.000000000000000","4,597,180.000000000000000",1,1,2
"45,336",182,113,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,227.000000000000000","4,597,180.000000000000000",1,1,2
"45,337",183,82,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,127.000000000000000","4,597,080.000000000000000",1,1,2
"45,338",183,83,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,227.000000000000000","4,597,080.000000000000000",1,1,2
"45,339",183,84,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,327.000000000000000","4,597,080.000000000000000",1,1,2
"45,340",183,85,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,427.000000000000000","4,597,080.000000000000000",1,1,2
"45,341",183,86,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,527.000000000000000","4,597,080.000000000000000",1,1,2
"45,342",183,87,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,627.000000000000000","4,597,080.000000000000000",1,1,2
"45,343",183,88,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,727.000000000000000","4,597,080.000000000000000",1,1,2
"45,344",183,89,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,827.000000000000000","4,597,080.000000000000000",1,1,2
"45,345",183,90,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,927.000000000000000","4,597,080.000000000000000",1,1,2
"45,346",183,91,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,027.000000000000000","4,597,080.000000000000000",1,1,2
"45,347",183,92,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,127.000000000000000","4,597,080.000000000000000",1,1,2
"45,348",183,93,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,227.000000000000000","4,597,080.000000000000000",1,1,2
"45,349",183,94,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,327.000000000000000","4,597,080.000000000000000",1,1,2
"45,350",183,95,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,427.000000000000000","4,597,080.000000000000000",1,1,2
"45,351",183,96,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,527.000000000000000","4,597,080.000000000000000",1,1,2
"45,352",183,97,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,627.000000000000000","4,597,080.000000000000000",1,1,2
"45,353",183,98,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,727.000000000000000","4,597,080.000000000000000",1,1,2
"45,354",183,99,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,827.000000000000000","4,597,080.000000000000000",1,1,2
"45,355",183,100,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,927.000000000000000","4,597,080.000000000000000",1,1,2
"45,356",183,101,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,027.000000000000000","4,597,080.000000000000000",1,1,2
"45,357",183,102,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,127.000000000000000","4,597,080.000000000000000",1,1,2
"45,358",183,103,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,227.000000000000000","4,597,080.000000000000000",1,1,2
"45,359",183,104,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,327.000000000000000","4,597,080.000000000000000",1,1,2
"45,360",183,105,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,427.000000000000000","4,597,080.000000000000000",1,1,2
"45,361",183,106,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,527.000000000000000","4,597,080.000000000000000",1,1,2
"45,362",183,107,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,627.000000000000000","4,597,080.000000000000000",1,1,2
"45,363",183,108,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,727.000000000000000","4,597,080.000000000000000",1,1,2
"45,364",183,109,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,827.000000000000000","4,597,080.000000000000000",1,1,2
"45,365",183,110,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,927.000000000000000","4,597,080.000000000000000",1,1,2
"45,366",183,111,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,027.000000000000000","4,597,080.000000000000000",1,1,2
"45,367",183,112,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,127.000000000000000","4,597,080.000000000000000",1,1,2
"45,368",183,113,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,227.000000000000000","4,597,080.000000000000000",1,1,2
"45,369",184,83,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,227.000000000000000","4,596,980.000000000000000",1,1,2
"45,370",184,84,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,327.000000000000000","4,596,980.000000000000000",1,1,2
"45,371",184,85,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,427.000000000000000","4,596,980.000000000000000",1,1,2
"45,372",184,86,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,527.000000000000000","4,596,980.000000000000000",1,1,2
"45,373",184,87,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,627.000000000000000","4,596,980.000000000000000",1,1,2
"45,374",184,88,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,727.000000000000000","4,596,980.000000000000000",1,1,2
"45,375",184,89,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,827.000000000000000","4,596,980.000000000000000",1,1,2
"45,376",184,90,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,927.000000000000000","4,596,980.000000000000000",1,1,2
"45,377",184,91,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,027.000000000000000","4,596,980.000000000000000",1,1,2
"45,378",184,92,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,127.000000000000000","4,596,980.000000000000000",1,1,2
"45,379",184,93,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,227.000000000000000","4,596,980.000000000000000",1,1,2
"45,380",184,94,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,327.000000000000000","4,596,980.000000000000000",1,1,2
"45,381",184,95,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,427.000000000000000","4,596,980.000000000000000",1,1,2
"45,382",184,96,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,527.000000000000000","4,596,980.000000000000000",1,1,2
"45,383",184,97,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,627.000000000000000","4,596,980.000000000000000",1,1,2
"45,384",184,98,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,727.000000000000000","4,596,980.000000000000000",1,1,2
"45,385",184,99,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,827.000000000000000","4,596,980.000000000000000",1,1,2
"45,386",184,100,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,927.000000000000000","4,596,980.000000000000000",1,1,2
"45,387",184,101,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,027.000000000000000","4,596,980.000000000000000",1,1,2
"45,388",184,102,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,127.000000000000000","4,596,980.000000000000000",1,1,2
"45,389",184,103,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,227.000000000000000","4,596,980.000000000000000",1,1,2
"45,390",184,104,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,327.000000000000000","4,596,980.000000000000000",1,1,2
"45,391",184,105,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,427.000000000000000","4,596,980.000000000000000",1,1,2
"45,392",184,106,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,527.000000000000000","4,596,980.000000000000000",1,1,2
"45,393",184,107,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,627.000000000000000","4,596,980.000000000000000",1,1,2
"45,394",184,108,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,727.000000000000000","4,596,980.000000000000000",1,1,2
"45,395",184,109,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,827.000000000000000","4,596,980.000000000000000",1,1,2
"45,396",184,110,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,927.000000000000000","4,596,980.000000000000000",1,1,2
"45,397",184,111,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,027.000000000000000","4,596,980.000000000000000",1,1,2
"45,398",184,112,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,127.000000000000000","4,596,980.000000000000000",1,1,2
"45,399",184,113,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,227.000000000000000","4,596,980.000000000000000",1,1,2
"45,400",185,84,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,327.000000000000000","4,596,880.000000000000000",1,1,2
"45,401",185,85,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,427.000000000000000","4,596,880.000000000000000",1,1,2
"45,402",185,86,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,527.000000000000000","4,596,880.000000000000000",1,1,2
"45,403",185,87,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,627.000000000000000","4,596,880.000000000000000",1,1,2
"45,404",185,88,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,727.000000000000000","4,596,880.000000000000000",1,1,2
"45,405",185,89,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,827.000000000000000","4,596,880.000000000000000",1,1,2
"45,406",185,90,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,927.000000000000000","4,596,880.000000000000000",1,1,2
"45,407",185,91,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,027.000000000000000","4,596,880.000000000000000",1,1,2
"45,408",185,92,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,127.000000000000000","4,596,880.000000000000000",1,1,2
"45,409",185,93,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,227.000000000000000","4,596,880.000000000000000",1,1,2
"45,410",185,94,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,327.000000000000000","4,596,880.000000000000000",1,1,2
"45,411",185,95,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,427.000000000000000","4,596,880.000000000000000",1,1,2
"45,412",185,96,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,527.000000000000000","4,596,880.000000000000000",1,1,2
"45,413",185,97,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,627.000000000000000","4,596,880.000000000000000",1,1,2
"45,414",185,98,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,727.000000000000000","4,596,880.000000000000000",1,1,2
"45,415",185,99,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,827.000000000000000","4,596,880.000000000000000",1,1,2
"45,416",185,100,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,927.000000000000000","4,596,880.000000000000000",1,1,2
"45,417",185,101,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,027.000000000000000","4,596,880.000000000000000",1,1,2
"45,418",185,102,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,127.000000000000000","4,596,880.000000000000000",1,1,2
"45,419",185,103,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,227.000000000000000","4,596,880.000000000000000",1,1,2
"45,420",185,104,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,327.000000000000000","4,596,880.000000000000000",1,1,2
"45,421",185,105,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,427.000000000000000","4,596,880.000000000000000",1,1,2
"45,422",185,106,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,527.000000000000000","4,596,880.000000000000000",1,1,2
"45,423",185,107,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,627.000000000000000","4,596,880.000000000000000",1,1,2
"45,424",185,108,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,727.000000000000000","4,596,880.000000000000000",1,1,2
"45,425",185,109,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,827.000000000000000","4,596,880.000000000000000",1,1,2
"45,426",185,110,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,927.000000000000000","4,596,880.000000000000000",1,1,2
"45,427",185,111,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,027.000000000000000","4,596,880.000000000000000",1,1,2
"45,428",185,112,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,127.000000000000000","4,596,880.000000000000000",1,1,2
"45,429",185,113,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,227.000000000000000","4,596,880.000000000000000",1,1,2
"45,430",186,84,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,327.000000000000000","4,596,780.000000000000000",1,1,2
"45,431",186,85,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,427.000000000000000","4,596,780.000000000000000",1,1,2
"45,432",186,86,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,527.000000000000000","4,596,780.000000000000000",1,1,2
"45,433",186,87,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,627.000000000000000","4,596,780.000000000000000",1,1,2
"45,434",186,88,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,727.000000000000000","4,596,780.000000000000000",1,1,2
"45,435",186,89,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,827.000000000000000","4,596,780.000000000000000",1,1,2
"45,436",186,90,100.000000000000000,100.000000000000000,"10,000.000000000000000","508,927.000000000000000","4,596,780.000000000000000",1,1,2
"45,437",186,91,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,027.000000000000000","4,596,780.000000000000000",1,1,2
"45,438",186,92,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,127.000000000000000","4,596,780.000000000000000",1,1,2
"45,439",186,93,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,227.000000000000000","4,596,780.000000000000000",1,1,2
"45,440",186,94,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,327.000000000000000","4,596,780.000000000000000",1,1,2
"45,441",186,95,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,427.000000000000000","4,596,780.000000000000000",1,1,2
"45,442",186,96,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,527.000000000000000","4,596,780.000000000000000",1,1,2
"45,443",186,97,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,627.000000000000000","4,596,780.000000000000000",1,1,2
"45,444",186,98,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,727.000000000000000","4,596,780.000000000000000",1,1,2
"45,445",186,99,100.000000000000000,100.000000000000000,"10,000.000000000000000","509,827.000000000000000","4,596,780.000000000000000",1,1,2
