HRU_ID,SubId_2
"213534",
"213534",
"213534",
"213534",
"213534",
"213534",
"213534",
"213534",
"212981",
"212981",
"212981",
"212981",
"212981",
"212981",
"212981",
"212981",
"212428",
"212428",
"212428",
"212428",
"212428",
"212428",
"212428",
"212428",
"211875",
"211875",
"211875",
"211875",
"211875",
"211875",
"211875",
"211875",
"211322",
"211322",
"211322",
"211322",
"211322",
"211322",
"211322",
"211322",
"210769",
"210769",
"210769",
"210769",
"210769",
"210769",
"210769",
"210769",
"210216",
"210216",
"210216",
"210216",
"210216",
"210216",
"210216",
"210216",
"209663",
"209663",
"209663",
"209663",
"209663",
"209663",
"209663",
"209663",
"209110",
"209110",
"209110",
"209110",
"209110",
"209110",
"209110",
"209110",
"216853",
"216853",
"216853",
"216853",
"216853",
"216853",
"216853",
"216853",
"216300",
"216300",
"216300",
"216300",
"216300",
"216300",
"216300",
"216300",
"215747",
"215747",
"215747",
"215747",
"215747",
"215747",
"215747",
"215747",
"215194",
"215194",
"215194",
"215194",
"215194",
"215194",
"215194",
"215194",
"214641",
"214641",
"214641",
"214641",
"214641",
"214641",
"214641",
"214641",
"214088",
"214088",
"214088",
"214088",
"214088",
"214088",
"214088",
"214088",
"213535",
"213535",
"213535",
"213535",
"213535",
"213535",
"213535",
"213535",
"212982",
"212982",
"212982",
"212982",
"212982",
"212982",
"212982",
"212982",
"212429",
"212429",
"212429",
"212429",
"212429",
"212429",
"212429",
"212429",
"211876",
"211876",
"211876",
"211876",
"211876",
"211876",
"211876",
"211876",
"211323",
"211323",
"211323",
"211323",
"211323",
"211323",
"211323",
"211323",
"210770",
"210770",
"210770",
"210770",
"210770",
"210770",
"210770",
"210770",
"210217",
"210217",
"210217",
"210217",
"210217",
"210217",
"210217",
"210217",
"209664",
"209664",
"209664",
"209664",
"209664",
"209664",
"209664",
"209664",
"209111",
"209111",
"209111",
"209111",
"209111",
"209111",
"209111",
"209111",
"208558",
"208558",
"208558",
"208558",
"208558",
"208558",
"208558",
"208558",
"208005",
"208005",
"208005",
"208005",
"208005",
"208005",
"208005",
"208005",
"216854",
"216854",
"216854",
"216854",
"216854",
"216854",
"216854",
"216854",
"216301",
"216301",
"216301",
"216301",
"216301",
"216301",
"216301",
"216301",
"215748",
"215748",
"215748",
"215748",
"215748",
"215748",
"215748",
"215748",
"215195",
"215195",
"215195",
"215195",
"215195",
"215195",
"215195",
"215195",
"214642",
"214642",
"214642",
"214642",
"214642",
"214642",
