HRU_ID,row,column,delx,dely,area,node,newnode,noflow,pinched,SubId,DowSubId
"206270",,,,,,,,,,,
"205717",,,,,,,,,,,
"205164",,,,,,,,,,,
"204611",,,,,,,,,,,
"204058",,,,,,,,,,,
"203505",,,,,,,,,,,
"202952",,,,,,,,,,,
"202399",,,,,,,,,,,
"201846",,,,,,,,,,,
"201293",,,,,,,,,,,
"200740",,,,,,,,,,,
"200187",,,,,,,,,,,
"199634",,,,,,,,,,,
"199081",,,,,,,,,,,
"198528",,,,,,,,,,,
"197975",,,,,,,,,,,
"197422",,,,,,,,,,,
"196869",,,,,,,,,,,
"196316",,,,,,,,,,,
"195763",,,,,,,,,,,
"195210",,,,,,,,,,,
"194657",,,,,,,,,,,
"194104",,,,,,,,,,,
"193551",,,,,,,,,,,
"192998",,,,,,,,,,,
"192445",,,,,,,,,,,
"191892",,,,,,,,,,,
"191339",,,,,,,,,,,
"190786",,,,,,,,,,,
"190233",,,,,,,,,,,
"189680",,,,,,,,,,,
"189127",,,,,,,,,,,
"188574",,,,,,,,,,,
"188021",,,,,,,,,,,
"187468",,,,,,,,,,,
"186915",,,,,,,,,,,
"186362",,,,,,,,,,,
"185809",,,,,,,,,,,
"185256",,,,,,,,,,,
"184703",,,,,,,,,,,
"184150",,,,,,,,,,,
"183597",,,,,,,,,,,
"183044",,,,,,,,,,,
"182491",,,,,,,,,,,
"181938",,,,,,,,,,,
"181385",,,,,,,,,,,
"180832",,,,,,,,,,,
"180279",,,,,,,,,,,
"179726",,,,,,,,,,,
"179173",,,,,,,,,,,
"178620",,,,,,,,,,,
"178067",,,,,,,,,,,
"177514",,,,,,,,,,,
"176961",,,,,,,,,,,
"176408",,,,,,,,,,,
"175855",,,,,,,,,,,
"175302",,,,,,,,,,,
"174749",,,,,,,,,,,
"174196",,,,,,,,,,,
"173643",,,,,,,,,,,
"173090",,,,,,,,,,,
"172537",,,,,,,,,,,
"171984",,,,,,,,,,,
"171431",,,,,,,,,,,
"170878",,,,,,,,,,,
"170325",,,,,,,,,,,
"169772",,,,,,,,,,,
"169219",,,,,,,,,,,
"168666",,,,,,,,,,,
"168113",,,,,,,,,,,
"167560",,,,,,,,,,,
"167007",,,,,,,,,,,
"166454",,,,,,,,,,,
"165901",,,,,,,,,,,
"165348",,,,,,,,,,,
"164795",,,,,,,,,,,
"164242",,,,,,,,,,,
"163689",,,,,,,,,,,
"163136",,,,,,,,,,,
"162583",,,,,,,,,,,
"162030",,,,,,,,,,,
"161477",,,,,,,,,,,
"160924",,,,,,,,,,,
"160371",,,,,,,,,,,
"159818",,,,,,,,,,,
"159265",,,,,,,,,,,
"158712",,,,,,,,,,,
"158159",,,,,,,,,,,
"157606",,,,,,,,,,,
"157053",,,,,,,,,,,
"156500",,,,,,,,,,,
"155947",,,,,,,,,,,
"155394",,,,,,,,,,,
"154841",,,,,,,,,,,
"154288",,,,,,,,,,,
"153735",,,,,,,,,,,
"153182",,,,,,,,,,,
"152629",,,,,,,,,,,
"152076",,,,,,,,,,,
"151523",,,,,,,,,,,
"150970",,,,,,,,,,,
"150417",,,,,,,,,,,
"149864",,,,,,,,,,,
"149311",,,,,,,,,,,
"148758",,,,,,,,,,,
"148205",,,,,,,,,,,
"147652",,,,,,,,,,,
"147099",,,,,,,,,,,
"146546",,,,,,,,,,,
"145993",,,,,,,,,,,
"145440",,,,,,,,,,,
"144887",,,,,,,,,,,
"144334",,,,,,,,,,,
"143781",,,,,,,,,,,
"143228",,,,,,,,,,,
"142675",,,,,,,,,,,
"142122",,,,,,,,,,,
"141569",,,,,,,,,,,
"141016",,,,,,,,,,,
"140463",,,,,,,,,,,
"139910",,,,,,,,,,,
"139357",,,,,,,,,,,
"138804",,,,,,,,,,,
"138251",,,,,,,,,,,
"137698",,,,,,,,,,,
"137145",,,,,,,,,,,
"136592",,,,,,,,,,,
"136039",,,,,,,,,,,
"135486",,,,,,,,,,,
"134933",,,,,,,,,,,
"134380",,,,,,,,,,,
"133827",,,,,,,,,,,
"133274",,,,,,,,,,,
"132721",,,,,,,,,,,
"132168",,,,,,,,,,,
"131615",,,,,,,,,,,
"131062",,,,,,,,,,,
"130509",,,,,,,,,,,
"129956",,,,,,,,,,,
"129403",,,,,,,,,,,
"128850",,,,,,,,,,,
"128297",,,,,,,,,,,
"127744",,,,,,,,,,,
"127191",,,,,,,,,,,
"126638",,,,,,,,,,,
"126085",,,,,,,,,,,
"125532",,,,,,,,,,,
"124979",,,,,,,,,,,
"124426",,,,,,,,,,,
"123873",,,,,,,,,,,
"123320",,,,,,,,,,,
"122767",,,,,,,,,,,
