Watershed	Plan_Type	Coordinating_Entity	Acres	Baseline_Total_Volume	Total_Volume_2022	Total_pct__Savings	April_pct_conserved	May_pct_conserved	June_pct_conserved	July_pct_conserved	Aug_pct_conserved	Sept_pct_conserved	Oct_pct_conserved	APN1	APN2	APN3	APN4	APN5	APN6	APN7	APN8	APN9	APN10	APN11	APN12	APN13	APN14	APN15	APN16	APN17	APN18	APN19	APN20	APN21	APN22	APN23	APN24	APN25	APN26	APN27	APN28	APN29	APN30	Acres_Converted_to_Grain	Replanting_if_converted_to_grain	Acres_Converted_to_grass	Acres_converted_to_Alfafa	Acres_Converted_to_Wheat	Acres_Converted_to_Bluegrass	Acres_installed_with_LESA	apply_compost_and_biochar	Acres_converted_to_LEPA	Num_pivots_installed_with_iWob	Acres_VFD_installed	Num_Nelson_flow_control_valves_installed	Acres_Num_sprinklers_reduced	Num_inline_flow_meter_installed	Num_soil_sensors_installed	Acres_Revolutions_reduced	Acres_nozzle_size_reduced	Acres_pressure_reduced	Acres_Revolutions_reduced	Acres_set_time_reduced	Acres_passes_reduced	Acres_sets_per_pass_reduced	Acres_application_rate_reduced	Acres_wheel_line_rotated_with_Pivot	Acres_converted_to_Pivots	Acres_converted_to_Wheel_line	pct_Reservoir_capacity	Acres_one_pump_ceased	Acres_corners_shutoff_early_or_completely	Acres_pivot_off_1_d_per_wk	Acres_dairy_pump_off_1_d_per_wk	Acres_Fallowed_all_year	Acres_1st_cutting_only	Acres_irrigation_ceased_by_June	Acres_irrigation_ceased_by_July_1	Acres_fallowed_by_Aug_1	Acres_fallowed_by_Sept_1	Acres_fallowed_by_Sept_10_15	Acres_irrigation_ceased_by_Oct_1	Acres_fallowed_by_Oct_31	Acres_3rd_crop_fallowed	Acres_4th_crop_fallowed	Acres_Cover_crops_fallowed	Forgo_surface_water_use
Scott 	Groundwater	Siskiyou RCD	115.48											024-100-120	024-100-140	024-100-150	024-090-170	024-090-180	024-100-190	024-100-200	024-100-280																																							112.46	112.46					95.97						YES*															
Scott 	Groundwater	Siskiyou RCD	120.4	477	334	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	21-303-060	21-030-330	21-030-370																																																																							
Scott 	Groundwater	Siskiyou RCD	217	1105	113	90.0	94.0	69.8	77.5	100.0	100.0	100.0	89.7	023-130-220	023-120-010	023-130-230	023-130-210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																												
Scott 	Groundwater	CDFW	22	145	68	53.0	40.8	40.8	46.2	64.8	64.8	63.5		014-281-170-000	014-281-580-000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																												
Scott 	Groundwater	Siskiyou RCD	120.1											024-190-390	024-190-260	024-180-410	024-180-420	024-180-400																																																																					
Scott 	Groundwater	CDFW	80											014-121-270																																																																									
Scott 	Groundwater	CDFW	597											024-190-170	024-190-180	024-190-160	024-190-290	023-020-020	023-010-360	023-020-330	023-020-320																																																																		
Scott	Groundwater	Siskiyou RCD	108											024-242-390	023-421-610																																																																								
Scott	Groundwater	Siskiyou RCD	77											023-020-350	023-020-360	023-010-070	023-020-340	023-020-370																																																																					
Scott 	Groundwater	Siskiyou RCD	225	1227	860.45	30.0	45.6	45.6	45.59	52.5	52.5	62.4	62.4	023-140-030																																																																									
Scott	Groundwater	CDFW	277											015-410-410	023-040-250	023-290-340	023-290-360																																																																						
Scott 	Groundwater	CDFW	16.78	991	632	36.0	22.9		28.5	53.5	45.9	62.5	2.3	014-281-390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																												
Scott 	Groundwater	CDFW	360.5	571.9	263.7	54.0	40.7	36.2	39.1	50.7	74.9	79.2	0.0	014-121-281	014-121-670	014-121-421	014-121-190	023-270-110	023-270-310	024-190-140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																												
Scott	Groundwater	CDFW	105											024?090?200																																																																									
Scott	Groundwater	Siskiyou RCD	84.5											023-030-430-000	023-040-270-000	023-040-130-000																																																																							
Scott 	Groundwater	CDFW	36	1296	0	51.0	80.8	59.7	34.6	34.4	54.1	68.9	0.0	014-281-110	014-281-610																																																																								
Scott 	Groundwater	CDFW	111	464	116	75.0	75.0	75.0	75.0	75.0	75.0	75.0	0.0	014-281-040-000	014-270-330-000	014-281-150-000	014-270-350-000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																												
Scott 	Groundwater	CDFW	49											015-410-540	015-410-510	015-410-530	015-530-130	015-410-420																																																																					
Scott 	Groundwater	CDFW	125	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	014-380-100	014-130-320	014-130-350	014-130-340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																												
Scott 	Groundwater	CDFW	151	113	68	39.0	32.0	37.0	42.0	47.0	40.0	0.0	0.0	14-290-380	14-290-360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																												
Scott 	Groundwater	CDFW	40	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	014-121-250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																												
