 "GAGE No.    5:  K,I,J Coord. =     1,  133,  129;  STREAM SEGMENT =    12;  REACH =   153 "
     "DATA: Time           Stage            Flow           Depth           Width      Midpt-Flow         Precip.              ET          Runoff     Conductance        HeadDiff       Hyd.Grad."
     6.1000000E+01   8.2834674E+02   1.0882563E+05   3.5377362E-01   2.5000000E+01   1.0920976E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.0617135E-02   3.0617135E-02
     6.2000000E+01   8.2834479E+02   1.0781586E+05   3.5180372E-01   2.5000000E+01   1.0819752E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.0420510E-02   3.0420510E-02
     6.3000000E+01   8.2834290E+02   1.0684436E+05   3.4990740E-01   2.5000000E+01   1.0722373E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.0237770E-02   3.0237770E-02
     6.4000000E+01   8.2834106E+02   1.0591636E+05   3.4807485E-01   2.5000000E+01   1.0629352E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.0062318E-02   3.0062318E-02
     6.5000000E+01   8.2833929E+02   1.0502625E+05   3.4631911E-01   2.5000000E+01   1.0540134E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.9896412E-02   2.9896412E-02
     6.6000000E+01   8.2833765E+02   1.0416846E+05   3.4463638E-01   2.5000000E+01   1.0454156E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.9738534E-02   2.9738534E-02
     6.7000000E+01   8.2833618E+02   1.0331099E+05   3.4318945E-01   2.5000000E+01   1.0368258E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.9616918E-02   2.9616918E-02
     6.8000000E+01   8.2833508E+02   1.0239202E+05   3.4208459E-01   2.5000000E+01   1.0276264E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.9540775E-02   2.9540775E-02
     6.9000000E+01   8.2833331E+02   1.0177876E+05   3.4032813E-01   2.5000000E+01   1.0214659E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.9317865E-02   2.9317865E-02
     7.0000000E+01   8.2833191E+02   1.0098686E+05   3.3894050E-01   2.5000000E+01   1.0135306E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.9187869E-02   2.9187869E-02
