 "GAGE No.    4:  K,I,J Coord. =     1,  280,  129;  STREAM SEGMENT =    10;  REACH =     1 "
     "DATA: Time           Stage            Flow           Depth           Width      Midpt-Flow         Precip.              ET          Runoff     Conductance        HeadDiff       Hyd.Grad."
     3.9000000E+01   8.5122681E+02   6.2219543E+04   5.0768401E-02   2.5000000E+01   6.2296133E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.8613768E-02   6.8613768E-02
     4.0000000E+01   8.5122644E+02   6.1439184E+04   5.0385989E-02   2.5000000E+01   6.1516027E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.8841204E-02   6.8841204E-02
     4.1000000E+01   8.5122601E+02   6.0675980E+04   5.0014008E-02   2.5000000E+01   6.0753074E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.9064096E-02   6.9064096E-02
     4.2000000E+01   8.5122565E+02   5.9941559E+04   4.9646612E-02   2.5000000E+01   6.0018895E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.9281884E-02   6.9281884E-02
     4.3000000E+01   8.5122534E+02   5.9228758E+04   4.9292114E-02   2.5000000E+01   5.9306332E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.9495484E-02   6.9495484E-02
     4.4000000E+01   8.5122498E+02   5.8532906E+04   4.8944402E-02   2.5000000E+01   5.8610711E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.9704011E-02   6.9704011E-02
     4.5000000E+01   8.5122461E+02   5.7851586E+04   4.8602346E-02   2.5000000E+01   5.7929621E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.9907710E-02   6.9907710E-02
     4.6000000E+01   8.5122430E+02   5.7183539E+04   4.8266876E-02   2.5000000E+01   5.7261793E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.0106842E-02   7.0106842E-02
     4.7000000E+01   8.5122394E+02   5.6528973E+04   4.7935024E-02   2.5000000E+01   5.6607449E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.0301197E-02   7.0301197E-02
     4.8000000E+01   8.5122363E+02   5.5887238E+04   4.7607023E-02   2.5000000E+01   5.5965922E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.0491001E-02   7.0491001E-02
     4.9000000E+01   8.5122333E+02   5.5257523E+04   4.7285005E-02   2.5000000E+01   5.5336414E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.0676520E-02   7.0676520E-02
     5.0000000E+01   8.5122302E+02   5.4640109E+04   4.6967853E-02   2.5000000E+01   5.4719207E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.0857592E-02   7.0857592E-02
     5.1000000E+01   8.5122266E+02   5.4033875E+04   4.6659507E-02   2.5000000E+01   5.4113168E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.1034536E-02   7.1034536E-02
     5.2000000E+01   8.5122235E+02   5.3439836E+04   4.6356086E-02   2.5000000E+01   5.3519320E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.1206860E-02   7.1206860E-02
     5.3000000E+01   8.5122205E+02   5.2860160E+04   4.6047088E-02   2.5000000E+01   5.2939832E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.1374156E-02   7.1374156E-02
     5.4000000E+01   8.5122180E+02   5.2289809E+04   4.5747221E-02   2.5000000E+01   5.2369664E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.1538210E-02   7.1538210E-02
     5.5000000E+01   8.5122150E+02   5.1730973E+04   4.5453787E-02   2.5000000E+01   5.1811008E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.1698077E-02   7.1698077E-02
     5.6000000E+01   8.5122119E+02   5.1183879E+04   4.5165304E-02   2.5000000E+01   5.1264086E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.1853764E-02   7.1853764E-02
     5.7000000E+01   8.5122089E+02   5.0648355E+04   4.4881817E-02   2.5000000E+01   5.0728734E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.2005451E-02   7.2005451E-02
     5.8000000E+01   8.5122064E+02   5.0124395E+04   4.4603061E-02   2.5000000E+01   5.0204934E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.2153211E-02   7.2153211E-02
     5.9000000E+01   8.5122034E+02   4.9611898E+04   4.4329401E-02   2.5000000E+01   4.9692598E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.2297171E-02   7.2297171E-02
     6.0000000E+01   8.5122009E+02   4.9110891E+04   4.4060778E-02   2.5000000E+01   4.9191746E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.2437398E-02   7.2437398E-02
     6.1000000E+01   8.5121985E+02   4.8621328E+04   4.3797236E-02   2.5000000E+01   4.8702336E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.2573982E-02   7.2573982E-02
     6.2000000E+01   8.5121948E+02   4.8020047E+04   4.3472078E-02   2.5000000E+01   4.8101203E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.2703511E-02   7.2703511E-02
     6.3000000E+01   8.5121924E+02   4.7498020E+04   4.3188468E-02   2.5000000E+01   4.7579324E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.2836734E-02   7.2836734E-02
     6.4000000E+01   8.5121893E+02   4.7003148E+04   4.2918459E-02   2.5000000E+01   4.7084594E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.2965838E-02   7.2965838E-02
     6.5000000E+01   8.5121869E+02   4.6525273E+04   4.2656653E-02   2.5000000E+01   4.6606859E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.3091254E-02   7.3091254E-02
