Day Scott_River_Avg_Flow_m3day South_Fork_Avg_Flow_m3day Wildcat_Avg_Flow_m3day Sugar_Avg_Flow_m3day McConaughy_Main_Avg_Flow_m3day McConaughy_Branch_Avg_Flow_m3day Miners_Avg_Flow_m3day French_Avg_Flow_m3day Clark_Avg_Flow_m3day Etna_Avg_Flow_m3day Heartstrand_Avg_Flow_m3day Shell_Avg_Flow_m3day Hamlin_Avg_Flow_m3day Johnson_Avg_Flow_m3day Crystal_Avg_Flow_m3day Patterson_Avg_Flow_m3day Kidder_Avg_Flow_m3day Moffett_Avg_Flow_m3day McAdams_Avg_Flow_m3day Indian_Avg_Flow_m3day Rattlesnake_Avg_Flow_m3day Mill_Avg_Flow_m3day Shackleford_Avg_Flow_m3day Sniktaw_Avg_Flow_m3day Patterson_North_Avg_Flow_m3day
2025-05-20 884257.878963997 1035426.48636584 63595.8936594875 186909.844999904 33213.8852722696 5413.35091260848 16657.8643087186 436194.580460369 50989.4130648462 318426.512407817 55397.9885732463 10461.5667712018 43585.2862017646 59697.6905120895 10997.7403492445 116564.983281028 239477.924152359 259983.444890948 96788.376615512 66795.0482069529 19835.1698988336 103520.662226413 456180.473412085 46029.4604861827 13988.4670549779
2025-05-21 1055102.19840446 991094.296746231 26962.1191366232 193411.899477446 31923.7071265446 5202.93270012611 16162.7416881473 359595.457596129 19124.3740598527 254769.363927094 54464.9329907281 10129.713761578 42466.0593372267 58181.1256232549 10574.8252079271 155184.731645081 275970.809076948 250068.116634504 92794.1278123223 64564.9291521233 19006.9414456498 102135.970429402 477168.177541186 45888.715118443 13377.8474251228
2025-05-22 1120998.37732253 1144416.14697832 88394.3476825946 206701.036031354 30655.1341968221 4996.00070654878 16962.4798082194 514499.93983664 67131.9693167609 281963.376844785 53540.2202761241 9801.58664652332 41365.1409620785 56697.5403992186 10175.7568352223 145905.113089978 291441.210686427 240553.423127789 88577.4233716999 62060.619240249 18160.6818940657 100685.959623458 414239.480629361 42576.1893956742 12763.987205875
2025-05-23 1184286.98186441 1002510.56954993 34405.7884192258 218287.836076579 29392.1626193964 4790.06477551574 15202.8600498486 473424.820614269 24043.9275548792 240901.66627595 52612.278064263 9474.45310335374 40272.6541280966 55243.9366886354 9766.71175320005 92968.0398961084 231207.958053902 231069.528099292 84612.2256070141 59362.8218131659 17358.8990518688 99199.4627226055 456453.885245051 44084.073242255 12167.0243456035
2025-05-24 1044473.23788661 1141279.62009685 14943.1350867573 234564.502252148 28198.541118028 4597.32667319462 15630.1542995504 460660.470583134 4204.25515734382 235563.254932254 51703.9819607156 9166.69421194364 39228.5884305271 53848.7969292856 9402.68353029382 142144.186544162 257346.251718217 222031.320139902 80609.1000976147 56737.2062570415 16548.9421117305 97693.031955266 389298.776747421 20972.7296535118 11562.1914825211
2025-05-25 1140736.23271746 1264490.07829013 83745.9291394091 266458.968231069 27017.4559765621 4403.84152396526 14867.146344209 557761.805791252 65980.6393808453 255685.427375514 50801.875726911 8857.69335567717 38203.3130246999 52499.3789779518 9044.0086636068 95364.1952240291 300199.338585411 213488.687693676 76955.9320057487 54119.3602773051 15802.454637961 96210.9845781829 430272.790267752 54846.5613963986 10996.7086334931
2025-05-26 1101928.68533737 1092564.12192744 31623.4535412791 238116.215258262 25872.1127973719 4216.08373436561 13769.8938898171 455640.627087921 23595.2233483014 220666.507381946 49902.9989903633 8556.64107449151 37186.4691600389 51191.4354535615 8684.11712505178 60026.9680667913 221523.047242003 204918.82022952 73439.4113912898 51660.6652977729 15076.8832383358 94717.1904583483 432291.353503089 53463.2014175468 10449.9749088086
2025-05-27 926763.934680065 1149687.56727382 9230.70787564279 215901.677989604 24829.9945390821 4045.75703929114 13592.8544958146 459360.328991723 3873.82862865053 184987.661842347 49033.4568539006 8280.1796974621 36226.9597753091 49945.9534155316 8358.04906442722 159285.496287695 224266.974763376 196790.567308424 69914.5520528159 49296.4583923775 14352.2734972919 93232.6513479541 371696.695018484 22146.87999252 9908.10206821321
2025-05-28 910462.802616186 1321444.2196894 74238.563511071 275246.381335745 23831.8869059825 3879.91262566598 13266.2008974752 577740.45334873 57961.6944337931 213042.964917349 48181.6769523518 8010.6733236284 35292.5041129021 48757.6860990081 8054.36776617389 99759.3830013794 281957.595635036 189362.53433428 66682.6240192563 46960.0715830809 13682.4782953847 91796.8790180722 420476.329574348 38677.781260755 9406.04218301393
2025-05-29 1095443.26766388 1163786.76938971 28170.010501332 273414.864936781 22809.5067462629 3709.83494622757 12165.7651621401 487759.865004612 20799.0357848209 220074.585390578 47316.9790617747 7732.22480282879 34337.0900481674 47601.6489094466 7737.78974611975 51943.3628591913 215051.427704332 181905.73914494 63706.7755102869 44772.3092511403 13057.8810468008 90379.4387261195 441323.742841605 53479.9000204989 8938.70289845085
2025-05-30 1010265.277509 1040035.85972364 7828.30363719021 245406.560657185 21825.8025904981 3548.97084532389 11640.7686742543 392213.809557928 3504.68024112601 164512.241362217 46461.9696629689 7465.94753762167 33411.3068281029 46491.5833738465 7435.32511973442 50452.9263769524 232201.709011653 174439.271706241 60653.7265564042 42719.637295751 12418.6185048513 88947.0480343014 399980.479948957 23244.9324123605 8465.11390577326
2025-05-31 951678.282723847 1201349.73703141 65996.952306829 251583.95279684 20893.0440675293 3398.31638549924 11257.5506222295 529356.422861967 57814.5513702344 156807.200474132 45624.4533743053 7210.84795612194 32520.9360809371 45431.4870273349 7155.00392134674 152005.94234025 202006.953309746 167455.907669692 57673.8431809757 40661.2008159449 11805.3207445982 87539.7526565426 362133.494769989 37455.4435246562 7999.39491590654
