Month	East_Fork_Avg_Flow_m3day	South_Fork_Avg_Flow_m3day	Sugar_Avg_Flow_m3day	French_Avg_Flow_m3day	Etna_Avg_Flow_m3day	Johnson_Avg_Flow_m3day	Crystal_Avg_Flow_m3day	Patterson_Avg_Flow_m3day	Kidder_Avg_Flow_m3day	Moffett_Avg_Flow_m3day	Mill_Avg_Flow_m3day	Shackleford_Avg_Flow_m3day
1991-08-01	6354.49560325288	9381.15136069255	2580.97834034867	1808.38166185564	4775.48920886332	259.603952115303	194.702964086477	1298.01976057652	3820.39659400678	729.136853945567	9489.78086648287	11246.8273330761
1991-09-01	5721.78313128861	8718.2789570362	2380.81551690912	1606.48298460645	4327.11323658179	233.212479411636	174.909359558727	1166.06239705818	3378.14070812077	652.51362517375	9148.46162219289	10542.9772690037
1991-10-01	8468.59688759911	11704.5774174479	3270.61121540827	2478.87226076433	6281.34892970331	347.654860418677	260.741145314007	1738.27430209338	5287.85719449508	984.25797449976	10968.5743298955	13781.2502340223
1991-11-01	19419.3096699519	22351.9285422383	6520.91357478327	6146.5345804496	13888.9111945476	808.011342547268	606.008506910451	4040.05671273634	13468.9202296956	2338.77871735355	16941.3980708001	25031.4282007231
1991-12-01	56678.4176989779	50635.0454163779	15680.870878541	19991.0988310041	38544.3821495832	2402.69478721697	1802.02109041273	12013.4739360849	45468.4690722115	7171.01331574302	28605.7653972608	52903.3868066785
1992-01-01	50305.6262986832	46189.2122269362	14212.1018588338	17536.979783512	34397.3692882874	2128.24957528943	1596.18718146707	10641.2478764472	39726.5809166703	6330.91268635932	26936.0169367549	48621.5988858872
1992-02-01	145432.394444694	106268.538550791	34505.4608312924	55895.688344598	95025.5813738711	6256.97994080203	4692.73495560152	31284.8997040102	130942.006750667	19133.9388867426	47552.065155862	105082.697897299
1992-03-01	144932.962578695	104377.114844732	34007.4348170884	56050.3823942307	94426.1436148189	6242.1575576186	4681.61816821395	31210.787788093	131584.831907177	19122.1617373442	45925.828926038	102802.801197219
1992-04-01	285280.609377394	177202.505354224	59782.2847610829	117525.757526423	180475.565124584	12421.2863265782	9315.96474493365	62106.431632891	281968.294900893	38738.1350512297	65677.4506109786	167600.847463278
1992-05-01	139766.35201778	101498.438844738	33004.6749180628	53860.1847475467	91211.0677576705	6015.9460392193	4511.95952941448	30079.7301960965	126288.365810128	18410.6245871041	45092.8721425532	100195.920415975
1992-06-01	33259.5699187618	33834.3597256621	10162.2090999071	11097.7007695636	23210.3039535488	1396.51973081029	1047.38979810772	6982.59865405146	24763.8233008079	4103.04691562249	22221.9105870922	36630.1282657898
1992-07-01	21308.3362909972	23829.1116312289	6999.24985269823	6828.05496828276	15152.7989284083	888.494281424273	666.370711068204	4442.47140712136	15025.8713721326	2580.72040138731	17466.9952820351	26475.7871208545
1992-08-01	4025.82764972717	6599.80773440993	1771.49594555047	1095.52426242805	3089.17972024447	163.206505508519	122.404879131389	816.032527542596	2279.05129595518	452.618056441794	7538.81051741895	8142.66126957612
1992-09-01	12022.1518553184	15447.7693016583	4391.3467272384	3630.38960366339	8788.719801712	496.190702936517	372.143027202388	2480.95351468258	7827.64751289698	1417.22438138001	13302.72304692	17829.0357080864
1992-10-01	27572.4376496499	29063.0984067872	8656.41540146249	9061.50643300062	19377.9501677339	1154.70386975395	866.027902315459	5773.51934876973	20114.9226140271	3378.03642068885	19890.9504808563	31772.1709085916
1992-11-01	34145.7594415607	34526.8305582769	10384.9506726189	11422.8179964565	23800.1403844463	1434.36640054287	1075.77480040715	7171.83200271437	25511.9203305098	4217.32011770851	22518.5222271832	37318.0788975421
1992-12-01	66251.7252778455	57104.7829507652	17834.3271157852	23728.1575674617	44734.8183477192	2815.93638715523	2111.95229036642	14079.6819357761	54253.0198887466	8440.8566040987	30947.8632807061	59080.4634255285
1993-01-01	187617.799903901	127344.148229666	42073.6230800121	74418.5149725672	120803.689916307	8115.86884556887	6086.90163417665	40579.3442278444	176233.987622059	25040.8865770839	52310.1215875439	123404.560153483
1993-02-01	233186.371648886	154127.202989663	51242.0182890145	93548.3835323432	149353.696593071	10106.7710356064	7580.07827670483	50533.8551780322	222402.20317424	31283.9451908491	61392.463527812	148277.125308129
