STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
SFJ,D,41,M FLOW,20020131 0000,20020131 0000,425, ,CFS
SFJ,D,41,M FLOW,20020201 0000,20020201 0000,416, ,CFS
SFJ,D,41,M FLOW,20020202 0000,20020202 0000,403, ,CFS
SFJ,D,41,M FLOW,20020203 0000,20020203 0000,389, ,CFS
SFJ,D,41,M FLOW,20020204 0000,20020204 0000,375, ,CFS
SFJ,D,41,M FLOW,20020205 0000,20020205 0000,371, ,CFS
SFJ,D,41,M FLOW,20020206 0000,20020206 0000,365, ,CFS
SFJ,D,41,M FLOW,20020207 0000,20020207 0000,459, ,CFS
SFJ,D,41,M FLOW,20020208 0000,20020208 0000,689, ,CFS
SFJ,D,41,M FLOW,20020209 0000,20020209 0000,579, ,CFS
SFJ,D,41,M FLOW,20020210 0000,20020210 0000,520, ,CFS
SFJ,D,41,M FLOW,20020211 0000,20020211 0000,494, ,CFS
SFJ,D,41,M FLOW,20020212 0000,20020212 0000,476, ,CFS
SFJ,D,41,M FLOW,20020213 0000,20020213 0000,465, ,CFS
SFJ,D,41,M FLOW,20020214 0000,20020214 0000,454, ,CFS
SFJ,D,41,M FLOW,20020215 0000,20020215 0000,439, ,CFS
SFJ,D,41,M FLOW,20020216 0000,20020216 0000,438, ,CFS
SFJ,D,41,M FLOW,20020217 0000,20020217 0000,437, ,CFS
SFJ,D,41,M FLOW,20020218 0000,20020218 0000,432, ,CFS
SFJ,D,41,M FLOW,20020219 0000,20020219 0000,468, ,CFS
SFJ,D,41,M FLOW,20020220 0000,20020220 0000,926, ,CFS
SFJ,D,41,M FLOW,20020221 0000,20020221 0000,1209, ,CFS
SFJ,D,41,M FLOW,20020222 0000,20020222 0000,1157, ,CFS
SFJ,D,41,M FLOW,20020223 0000,20020223 0000,1248, ,CFS
SFJ,D,41,M FLOW,20020224 0000,20020224 0000,1158, ,CFS
SFJ,D,41,M FLOW,20020225 0000,20020225 0000,1013, ,CFS
SFJ,D,41,M FLOW,20020226 0000,20020226 0000,919, ,CFS
SFJ,D,41,M FLOW,20020227 0000,20020227 0000,866, ,CFS
SFJ,D,41,M FLOW,20020228 0000,20020228 0000,831, ,CFS
SFJ,D,41,M FLOW,20020301 0000,20020301 0000,792, ,CFS
SFJ,D,41,M FLOW,20020302 0000,20020302 0000,747, ,CFS
SFJ,D,41,M FLOW,20020303 0000,20020303 0000,707, ,CFS
SFJ,D,41,M FLOW,20020304 0000,20020304 0000,674, ,CFS
SFJ,D,41,M FLOW,20020305 0000,20020305 0000,659, ,CFS
SFJ,D,41,M FLOW,20020306 0000,20020306 0000,671, ,CFS
SFJ,D,41,M FLOW,20020307 0000,20020307 0000,666, ,CFS
SFJ,D,41,M FLOW,20020308 0000,20020308 0000,623, ,CFS
SFJ,D,41,M FLOW,20020309 0000,20020309 0000,593, ,CFS
SFJ,D,41,M FLOW,20020310 0000,20020310 0000,580, ,CFS
SFJ,D,41,M FLOW,20020311 0000,20020311 0000,564, ,CFS
SFJ,D,41,M FLOW,20020312 0000,20020312 0000,608, ,CFS
SFJ,D,41,M FLOW,20020313 0000,20020313 0000,630, ,CFS
SFJ,D,41,M FLOW,20020314 0000,20020314 0000,593, ,CFS
SFJ,D,41,M FLOW,20020315 0000,20020315 0000,576, ,CFS
SFJ,D,41,M FLOW,20020316 0000,20020316 0000,553, ,CFS
SFJ,D,41,M FLOW,20020317 0000,20020317 0000,530, ,CFS
SFJ,D,41,M FLOW,20020318 0000,20020318 0000,505, ,CFS
SFJ,D,41,M FLOW,20020319 0000,20020319 0000,489, ,CFS
SFJ,D,41,M FLOW,20020320 0000,20020320 0000,480, ,CFS
SFJ,D,41,M FLOW,20020321 0000,20020321 0000,475, ,CFS
SFJ,D,41,M FLOW,20020322 0000,20020322 0000,484, ,CFS
SFJ,D,41,M FLOW,20020323 0000,20020323 0000,508, ,CFS
SFJ,D,41,M FLOW,20020324 0000,20020324 0000,514, ,CFS
SFJ,D,41,M FLOW,20020325 0000,20020325 0000,504, ,CFS
SFJ,D,41,M FLOW,20020326 0000,20020326 0000,480, ,CFS
SFJ,D,41,M FLOW,20020327 0000,20020327 0000,470, ,CFS
SFJ,D,41,M FLOW,20020328 0000,20020328 0000,470, ,CFS
SFJ,D,41,M FLOW,20020329 0000,20020329 0000,494, ,CFS
SFJ,D,41,M FLOW,20020330 0000,20020330 0000,527, ,CFS
SFJ,D,41,M FLOW,20020331 0000,20020331 0000,575, ,CFS
SFJ,D,41,M FLOW,20020401 0000,20020401 0000,632, ,CFS
SFJ,D,41,M FLOW,20020402 0000,20020402 0000,706, ,CFS
SFJ,D,41,M FLOW,20020403 0000,20020403 0000,827, ,CFS
SFJ,D,41,M FLOW,20020404 0000,20020404 0000,990, ,CFS
