Polygon_ID	Well_ID	
608	49081	
355	49081	
282	49081	
625	49081	
216	49081	
156	49081	
523	49081	
391	49081	
1539	49081	
450	49081	
29	49081	
1535	49081	
548	49081	
366	49081	
1537	49081	
107	49081	
352	49081	
1536	49081	
545	49081	
290	49081	
1534	49081	
410	49701	
1996	49701	
2001	49701	
2042	49701	
1998	49701	
2002	49701	
66	49701	
405	49701	
1997	49701	
379	49701	
2000	49701	
563	49701	
1999	49701	
2041	49701	
1783	49712	
1872	49712	
1780	49712	
1798	49712	
710	49715	
709	49715	
1736	49715	
1755	49715	
1675	49715	
1737	49715	
552	49715	
454	49715	
102	49715	
1741	49715	
227	49722	
1727	49722	
1724	49722	
1705	49823	
1615	49823	
1687	49823	
2004	49958	
2003	49958	
1785	49958	
1786	49958	
267	49958	
2005	49958	
1784	49958	
661	49958	
269	49964	
296	54319	
68	54319	
328	54319	
1875	54319	
677	54319	
293	54319	
2033	54319	
308	54319	
182	54319	
371	54319	
1876	54319	
1888	54330	
1887	54330	
220	54333	
618	54333	
71	54333	
1893	54333	
435	54333	
703	54855	
700	54855	
1802	54855	
2032	54855	
701	54855	
1800	54855	
1862	54855	
1801	54855	
538	54858	
1860	54858	
292	54858	
1858	54858	
525	54858	
106	54858	
1804	54858	
1803	54858	
1856	54858	
1857	54858	
1859	54858	
1990	54864	
1974	54864	
14	54864	
330	54872	 ! Fields not in SVIHMv3 Model Domain 
373	54872	 ! Fields not in SVIHMv3 Model Domain 
363	54872	 ! Fields not in SVIHMv3 Model Domain 
335	54872	 ! Fields not in SVIHMv3 Model Domain 
392	54921	
581	54930	
95	54930	
526	54930	
241	54930	
1756	54936	
2028	54936	
1757	54936	
179	54936	
697	54940	
374	54940	
1708	54940	
69	65220	
587	65220	
511	65220	
1530	65220	
126	65220	
315	65220	
356	65220	
164	65220	
42	65220	
40	65220	
686	65220	
1540	65220	
474	65220	
1541	65220	
263	65221	
490	65221	
33	65221	
423	65221	
339	65221	
528	65221	
311	65222	
424	65222	
170	65222	
651	65222	
44	65222	
38	65222	
239	65226	
443	65226	
3	65226	
1752	65227	
518	65227	
98	65227	
640	65227	
1751	65227	
