layer	row	column	UTM_E	UTM_N
2	212	116	511527	4594180
2	212	120	511927	4594180
2	212	128	512727	4594180
2	216	116	511527	4593780
2	216	120	511927	4593780
2	216	124	512327	4593780
2	216	132	513127	4593780
2	220	112	511127	4593380
2	220	116	511527	4593380
2	220	120	511927	4593380
2	220	124	512327	4593380
2	224	108	510727	4592980
2	224	112	511127	4592980
2	224	116	511527	4592980
2	224	120	511927	4592980
2	224	124	512327	4592980
2	228	108	510727	4592580
2	228	112	511127	4592580
2	228	116	511527	4592580
2	228	120	511927	4592580
2	228	124	512327	4592580
2	232	84	508327	4592180
2	232	88	508727	4592180
2	236	84	508327	4591780
2	236	88	508727	4591780
2	240	88	508727	4591380
2	240	92	509127	4591380
2	244	92	509127	4590980
2	244	96	509527	4590980
2	244	100	509927	4590980
2	248	96	509527	4590580
2	256	104	510327	4589780
2	232	140	513927	4592180
2	232	144	514327	4592180
2	232	148	514727	4592180
2	236	132	513127	4591780
2	236	136	513527	4591780
2	236	140	513927	4591780
2	236	144	514327	4591780
2	240	132	513127	4591380
2	240	136	513527	4591380
2	240	140	513927	4591380
2	240	144	514327	4591380
2	244	132	513127	4590980
2	244	136	513527	4590980
2	232	92	509127	4592180
2	232	96	509527	4592180
2	232	100	509927	4592180
2	236	96	509527	4591780
2	236	100	509927	4591780
2	240	96	509527	4591380
2	240	100	509927	4591380
2	232	108	510727	4592180
2	232	112	511127	4592180
2	232	116	511527	4592180
2	232	120	511927	4592180
2	232	124	512327	4592180
2	236	108	510727	4591780
2	236	112	511127	4591780
2	236	116	511527	4591780
2	236	120	511927	4591780
2	236	124	512327	4591780
2	236	128	512727	4591780
2	240	108	510727	4591380
2	240	112	511127	4591380
2	240	116	511527	4591380
2	240	120	511927	4591380
2	240	124	512327	4591380
2	240	128	512727	4591380
2	244	108	510727	4590980
2	244	112	511127	4590980
2	244	116	511527	4590980
2	244	120	511927	4590980
2	244	128	512727	4590980
2	248	108	510727	4590580
2	248	112	511127	4590580
2	248	116	511527	4590580
2	248	120	511927	4590580
2	248	132	513127	4590580
2	252	104	510327	4590180
2	252	108	510727	4590180
2	252	112	511127	4590180
2	252	116	511527	4590180
2	252	120	511927	4590180
2	252	132	513127	4590180
2	256	108	510727	4589780
2	256	112	511127	4589780
2	256	116	511527	4589780
2	256	120	511927	4589780
2	260	108	510727	4589380
2	260	112	511127	4589380
2	260	116	511527	4589380
2	260	120	511927	4589380
2	264	108	510727	4588980
2	264	112	511127	4588980
2	264	116	511527	4588980
2	268	108	510727	4588580
2	268	112	511127	4588580
2	268	116	511527	4588580
2	272	108	510727	4588180
2	272	112	511127	4588180
2	272	116	511527	4588180
2	276	112	511127	4587780
2	276	116	511527	4587780
2	280	112	511127	4587380
2	280	116	511527	4587380
2	280	120	511927	4587380
2	280	124	512327	4587380
2	284	116	511527	4586980
2	284	120	511927	4586980
2	284	124	512327	4586980
2	288	116	511527	4586580
2	288	120	511927	4586580
2	288	124	512327	4586580
2	288	128	512727	4586580
2	292	116	511527	4586180
2	292	120	511927	4586180
2	292	124	512327	4586180
2	292	128	512727	4586180
2	296	120	511927	4585780
2	296	124	512327	4585780
2	296	128	512727	4585780
2	300	120	511927	4585380
2	300	124	512327	4585380
2	300	128	512727	4585380
2	304	120	511927	4584980
2	304	124	512327	4584980
2	308	116	511527	4584580
2	308	120	511927	4584580
2	308	124	512327	4584580
2	312	116	511527	4584180
2	312	120	511927	4584180
2	312	124	512327	4584180
2	80	136	513527	4607380
2	84	132	513127	4606980
2	88	128	512727	4606580
2	88	132	513127	4606580
2	92	128	512727	4606180
2	96	128	512727	4605780
2	72	24	502327	4608180
2	76	12	501127	4607780
2	76	16	501527	4607780
2	76	24	502327	4607780
2	76	28	502727	4607780
2	80	12	501127	4607380
2	80	16	501527	4607380
2	80	24	502327	4607380
2	80	28	502727	4607380
2	84	16	501527	4606980
2	84	24	502327	4606980
2	84	28	502727	4606980
2	88	24	502327	4606580
2	88	28	502727	4606580
2	88	32	503127	4606580
2	92	24	502327	4606180
2	92	28	502727	4606180
2	96	24	502327	4605780
2	96	28	502727	4605780
2	96	32	503127	4605780
2	100	20	501927	4605380
2	100	24	502327	4605380
2	100	28	502727	4605380
2	100	32	503127	4605380
2	100	36	503527	4605380
2	104	16	501527	4604980
2	104	20	501927	4604980
2	104	24	502327	4604980
2	104	28	502727	4604980
2	104	32	503127	4604980
2	108	16	501527	4604580
2	108	20	501927	4604580
2	108	24	502327	4604580
2	108	28	502727	4604580
2	108	32	503127	4604580
2	112	12	501127	4604180
2	112	16	501527	4604180
2	112	24	502327	4604180
2	112	28	502727	4604180
2	112	32	503127	4604180
2	112	36	503527	4604180
2	116	12	501127	4603780
2	84	80	507927	4606980
2	88	80	507927	4606580
2	88	84	508327	4606580
2	88	88	508727	4606580
2	92	76	507527	4606180
2	92	80	507927	4606180
2	92	84	508327	4606180
2	92	88	508727	4606180
2	96	76	507527	4605780
2	96	80	507927	4605780
2	96	84	508327	4605780
2	96	88	508727	4605780
2	100	76	507527	4605380
2	100	80	507927	4605380
2	104	76	507527	4604980
2	104	80	507927	4604980
2	108	76	507527	4604580
2	112	80	507927	4604180
2	108	120	511927	4604580
2	60	64	506327	4609380
2	60	68	506727	4609380
2	60	76	507527	4609380
2	60	80	507927	4609380
2	60	92	509127	4609380
2	64	16	501527	4608980
2	64	20	501927	4608980
2	64	24	502327	4608980
2	64	28	502727	4608980
2	64	40	503927	4608980
2	64	44	504327	4608980
2	64	48	504727	4608980
2	64	60	505927	4608980
2	64	64	506327	4608980
2	64	76	507527	4608980
2	64	80	507927	4608980
2	64	84	508327	4608980
2	64	88	508727	4608980
2	64	104	510327	4608980
2	68	24	502327	4608580
2	68	28	502727	4608580
2	68	32	503127	4608580
2	68	40	503927	4608580
2	68	44	504327	4608580
2	68	48	504727	4608580
2	68	64	506327	4608580
2	68	68	506727	4608580
2	68	76	507527	4608580
2	68	80	507927	4608580
2	68	84	508327	4608580
2	68	88	508727	4608580
2	68	92	509127	4608580
2	68	100	509927	4608580
2	68	104	510327	4608580
2	68	108	510727	4608580
2	68	112	511127	4608580
