Month	East_Fork_Avg_Flow_m3day	South_Fork_Avg_Flow_m3day	Sugar_Avg_Flow_m3day	French_Avg_Flow_m3day	Etna_Avg_Flow_m3day	Johnson_Avg_Flow_m3day	Crystal_Avg_Flow_m3day	Patterson_Avg_Flow_m3day	Kidder_Avg_Flow_m3day	Moffett_Avg_Flow_m3day	Mill_Avg_Flow_m3day	Shackleford_Avg_Flow_m3day
1997-12-01	91738.7122687095	73380.5579200908	23324.333488898	33922.1792130734	60822.6020192307	3906.49168726874	2929.86876545155	19532.4584363437	78417.2541468466	11814.9511618885	36467.6423975146	74193.8152997898
1998-01-01	509367.543414717	274897.628720266	95864.5262416762	222834.052444256	311939.897775422	22301.2390536203	16725.9292902152	111506.195268101	545784.335091346	70734.1317015383	86557.2225981588	249345.716815861
1998-02-01	559397.947749438	302459.4906815	105429.980330094	244526.8177275	342707.210934095	24488.4699884731	18366.3524913548	122442.349942365	598752.683873112	77654.0641841959	95441.0141834963	274486.328643452
1998-03-01	824410.436914849	398366.951743031	142586.454175856	378097.407513174	493742.265072233	36377.2311620221	27282.9233715166	181886.155810111	941231.954672014	116931.450424751	110343.302114298	350484.578306923
1998-04-01	477227.226054097	263409.308557361	91372.8760395266	206777.128879689	293585.743805281	20860.92288491	15645.6921636825	104304.61442455	504785.527878917	65986.2017218514	85131.4680925477	240412.453565731
1998-05-01	573280.533323878	301108.628722219	105678.392494244	253718.749429669	349164.247725657	25147.6126203	18860.709465225	125738.0631015	623912.455374592	80024.1505067325	91873.2163868432	271083.11523969
1998-06-01	594827.935472029	312131.733695775	109571.442531736	263361.127608379	362219.090311733	26094.5508913863	19570.9131685397	130472.754456931	647713.475323049	83046.9382418775	95132.4723494516	280933.939441437
1998-07-01	237712.541061211	152814.73504	51139.2101821761	96502.7359668158	150805.635601609	10279.8473225916	7709.88549194369	51399.2366129579	230364.231874034	31923.016800705	58940.0497062455	145465.697844357
1998-08-01	49123.8512105972	45350.9326144268	13936.2422166656	17085.1204686479	33524.7330441369	2070.76681948916	1553.07511461687	10353.8340974458	38671.9609366818	6155.31538103801	26615.064892955	47703.9919359926
1998-09-01	29458.5865171248	30814.2181394714	9194.56604655704	9713.12450902324	20617.0984602962	1230.89603648801	923.172027366006	6154.48018244004	21585.6875323584	3603.99297967906	20902.8539124182	33549.6798528558
