row column SubId
316 120 444000578
316 121 444000578
316 128 444000578
317 116 444000578
317 117 444000578
317 118 444000578
317 129 444000578
318 130 444000578
319 130 444000578
320 131 444000578
321 131 444000578
322 130 444000578
323 128 444000578
323 129 444000578
324 130 444000578
325 130 444000578
326 130 444000578
327 129 444000578
327 130 444000578
328 128 444000578
328 129 444000578
328 131 444000578
329 128 444000578
329 129 444000578
329 131 444000578
329 132 444000578
329 133 444000578
330 128 444000578
330 134 444000578
331 134 444000578
332 135 444000578
333 135 444000578
260 106 444000582
261 104 444000582
261 105 444000582
261 107 444000582
262 102 444000582
262 108 444000582
263 108 444000582
264 107 444000582
265 107 444000582
266 107 444000582
267 107 444000582
268 107 444000582
269 107 444000582
270 108 444000582
271 108 444000582
272 102 444000582
272 103 444000582
272 108 444000582
273 101 444000582
273 104 444000582
273 105 444000582
273 106 444000582
273 107 444000582
274 101 444000582
275 100 444000582
275 104 444000582
275 105 444000582
275 106 444000582
275 107 444000582
275 108 444000582
275 109 444000582
276 100 444000582
276 101 444000582
276 102 444000582
276 103 444000582
276 104 444000582
276 110 444000582
277 110 444000582
278 110 444000582
279 110 444000582
280 109 444000582
281 108 444000582
282 108 444000582
283 106 444000582
283 107 444000582
284 106 444000582
285 106 444000582
286 107 444000582
287 107 444000582
287 108 444000582
287 109 444000582
287 110 444000582
288 111 444000582
288 112 444000582
289 113 444000582
290 113 444000582
291 113 444000582
292 114 444000582
293 114 444000582
294 114 444000582
295 115 444000582
296 115 444000582
297 97 444000582
297 98 444000582
297 99 444000582
297 100 444000582
297 115 444000582
298 97 444000582
298 101 444000582
298 115 444000582
299 98 444000582
299 102 444000582
299 103 444000582
299 115 444000582
300 98 444000582
300 104 444000582
300 115 444000582
301 99 444000582
301 100 444000582
301 104 444000582
301 114 444000582
302 101 444000582
302 102 444000582
302 105 444000582
302 113 444000582
303 103 444000582
303 104 444000582
303 105 444000582
303 106 444000582
303 107 444000582
303 112 444000582
304 106 444000582
304 107 444000582
304 108 444000582
304 109 444000582
304 110 444000582
304 111 444000582
304 112 444000582
304 113 444000582
305 114 444000582
65 12 444000583
66 13 444000583
66 14 444000583
67 13 444000583
68 13 444000583
69 13 444000583
69 14 444000583
70 13 444000583
70 14 444000583
71 13 444000583
71 15 444000583
71 16 444000583
72 13 444000583
72 17 444000583
72 18 444000583
73 13 444000583
74 12 444000583
75 12 444000583
75 18 444000583
76 12 444000583
76 18 444000583
77 12 444000583
77 17 444000583
78 12 444000583
78 17 444000583
79 11 444000583
79 17 444000583
80 11 444000583
80 17 444000583
81 11 444000583
81 17 444000583
82 10 444000583
82 17 444000583
83 10 444000583
83 17 444000583
84 10 444000583
84 17 444000583
85 10 444000583
86 10 444000583
87 11 444000583
87 18 444000583
88 12 444000583
88 18 444000583
89 12 444000583
89 18 444000583
90 10 444000583
90 11 444000583
90 18 444000583
91 9 444000583
91 18 444000583
92 8 444000583
92 18 444000583
93 8 444000583
93 17 444000583
94 8 444000583
94 16 444000583
95 7 444000583
95 15 444000583
96 7 444000583
96 15 444000583
97 7 444000583
97 15 444000583
98 7 444000583
99 7 444000583
100 7 444000583
101 7 444000583
102 7 444000583
103 7 444000583
273 137 444000585
274 136 444000585
275 136 444000585
276 134 444000585
276 135 444000585
276 136 444000585
277 132 444000585
277 133 444000585
278 131 444000585
278 132 444000585
279 130 444000585
280 129 444000585
281 130 444000585
282 131 444000585
283 132 444000585
284 133 444000585
285 134 444000585
286 135 444000585
287 136 444000585
288 137 444000585
289 137 444000585
290 135 444000585
290 136 444000585
291 134 444000585
292 134 444000585
293 133 444000585
294 134 444000585
295 134 444000585
296 134 444000585
297 134 444000585
298 135 444000585
299 136 444000585
299 137 444000585
299 138 444000585
299 139 444000585
300 139 444000585
301 139 444000585
302 139 444000585
303 138 444000585
304 138 444000585
305 138 444000585
306 138 444000585
307 138 444000585
307 140 444000585
308 139 444000585
308 140 444000585
309 141 444000585
309 142 444000585
310 142 444000585
311 142 444000585
312 142 444000585
313 142 444000585
314 143 444000585
315 144 444000585
315 145 444000585
336 111 444000592
337 110 444000592
338 110 444000592
339 110 444000592
340 109 444000592
341 109 444000592
319 154 444000595
320 153 444000595
321 154 444000595
321 155 444000595
322 151 444000595
322 155 444000595
323 150 444000595
323 152 444000595
323 154 444000595
324 150 444000595
324 152 444000595
324 153 444000595
325 150 444000595
