Day Scott_River_Avg_Flow_m3day French_Avg_Flow_m3day Etna_Avg_Flow_m3day Patterson_Avg_Flow_m3day Kidder_Avg_Flow_m3day Moffett_Avg_Flow_m3day Mill_Avg_Flow_m3day Shackleford_Avg_Flow_m3day
2012-01-20 485997.485468985 103264.226076053 153411.793200445 84857.9719407923 159229.905812166 30778.9114792963 43746.1325701044 179645.705718626
2012-01-21 799651.998346745 297381.599772558 393146.966617678 209353.932181104 466495.929907556 78636.5416831454 73161.8241404852 505238.112647036
2012-01-22 322949.725705728 171261.21817728 236812.517522154 128713.165318136 261448.763056751 47444.719172247 55459.5697363167 269124.77142144
2012-01-23 225086.172461568 122329.4415552 161346.698094814 89065.4699588989 168671.187865754 32365.594307125 44968.4933830658 183494.1623328
2012-01-24 210406.639474944 112543.086230784 128969.150247593 71839.6385453244 130596.571942827 25889.5627154715 39787.7859407967 161474.862852864
2012-01-25 633666.507255936 142246.417635092 203989.756511392 111543.398461361 220482.745301562 40888.5454307603 51117.1375292659 540696.131673984
2012-01-26 785355.014784384 245316.587047521 331274.068873466 177630.453061297 383621.920568263 66297.6333079566 66626.0516232605 418581.856524051
2012-01-27 601860.852451584 300930.426225792 313553.308449718 168502.267868066 360272.883913489 62762.3764433992 64654.1278160775 489317.7662208
2012-01-28 425706.456612096 203066.872981632 228521.940211578 124385.954269869 251020.187639604 45789.0154486457 54389.9599291176 327842.903367936
2012-01-29 344969.025185664 163921.451683968 185444.680119597 101793.920774826 197739.460953723 37182.7823309535 48522.7588951999 259338.416097024
2012-01-30 288697.482070272 144348.741035136 163758.915415216 90342.8775268681 171554.612794128 32847.896402503 45334.6575475851 229979.350123776
2012-01-31 259338.416097024 124776.030386304 147640.782994438 81792.3811111213 152406.620833388 29624.7598703908 42839.0108384644 203066.872981632
2012-02-01 259338.416097024 127222.619217408 141385.847957284 78464.2489726929 145053.942784296 28373.6621119822 41837.465389384 195727.10648832
2012-02-02 225086.172461568 110096.49739968 131920.378104184 73416.4367280532 134015.595785829 26480.0564805677 40282.7884640504 173707.807008384
2012-02-03 212853.228306048 100310.142075264 120280.106440012 67188.6065259521 120595.59411337 24150.7649030668 38299.7323855564 159028.27402176
2012-02-04 203066.872981632 92970.375581952 112421.232961772 62970.257779066 111638.066878759 22577.745405439 36911.2702945017 146795.32986624
2012-02-05 193280.517657216 85630.60908864 105414.557696305 59199.2984193425 103726.487122797 21175.0004241749 35635.7632056753 137008.974541824
2012-02-06 185940.751163904 83184.020257536 101647.78446556 57167.891454972 99503.7509230072 20420.7640716853 34934.1513316721 127222.619217408
2012-02-07 188387.339995008 80737.431426432 97621.3529652786 54993.0832026203 95014.4938415096 19614.43496829 34171.0054371803 122329.4415552
2012-02-08 190833.928826112 75844.253764224 93807.7654727053 52929.8969409333 90786.7497131796 18850.6304051484 33434.9234633187 117436.263892992
2012-02-09 195727.10648832 73397.66493312 91411.888410224 51631.97972539 88143.0949766145 18370.7208028689 32965.5258781858 117436.263892992
2012-02-10 220192.99479936 75844.253764224 91651.916936368 51762.0716054407 88407.5071030992 18418.8018828458 33012.8014978765 119882.852724096
2012-02-11 227532.761292672 75844.253764224 95240.6683603552 53705.5008164919 92372.4523639058 19137.6310235801 33713.0598849032 127222.619217408
2012-02-12 207960.05064384 70951.076102016 94285.7798900768 53188.6901529812 91315.3576248604 18946.3749829054 33527.9221984142 122329.4415552
2012-02-13 198173.695319424 70951.076102016 92850.5835021829 52411.5257997857 89729.4115968773 18658.9055175915 33248.0532336285 117436.263892992
2012-02-14 185940.751163904 66057.898439808 90210.2509367701 50980.5019359866 86820.8764353299 18130.0097893985 32728.0021024561 112543.086230784
2012-02-15 173707.807008384 63611.309608704 86590.0158819882 49015.6217734954 82852.6065332594 17404.7439164205 32003.5860351462 105203.319737472
2012-02-16 168814.629346176 61164.7207776 82945.8023290346 47034.3719858458 78881.8220204302 16674.5749378822 31260.3599714591 100310.142075264
2012-02-17 168814.629346176 61164.7207776 80991.9414867068 45970.6770926298 76762.997696433 16283.0491332727 30855.7757790402 100310.142075264
2012-02-18 171261.21817728 63611.309608704 81481.0954195411 46237.0720629792 77292.7754269473 16381.0714395563 30957.4760581019 105203.319737472
2012-02-19 163921.451683968 58718.131946496 80012.2342467735 45436.929188275 75703.2969033856 16086.7183143017 30651.2429639089 97863.55324416
2012-02-20 163921.451683968 58718.131946496 78784.9374602082 44767.9206641098 74378.394814011 15840.7601757587 30393.4114964748 97863.55324416
2012-02-21 168814.629346176 58718.131946496 78539.1182465464 44633.8724002671 74113.3771371813 15791.4949434668 30341.5511886925 102756.730906368
2012-02-22 193280.517657216 61164.7207776 80502.3223369078 45703.9636768321 76233.1716368479 16184.9316793216 30753.6994322362 112543.086230784
2012-02-23 207960.05064384 61164.7207776 83920.0133488547 47564.3594657268 79940.9508798191 16869.7816952271 31460.4734424885 117436.263892992
2012-02-24 195727.10648832 58718.131946496 83920.0133488547 47564.3594657268 79940.9508798191 16869.7816952271 31460.4734424885 110096.49739968
2012-02-25 195727.10648832 61164.7207776 83433.1315413436 47299.5186686494 79411.4097878128 16772.2240644828 31360.5951222772 110096.49739968
2012-02-26 181047.573501696 56271.543115392 80747.1902953305 45837.3603536809 76498.0907292105 16234.0023471996 30804.7848657819 97863.55324416
2012-02-27 181047.573501696 56271.543115392 79767.013170131 45303.2907096341 75438.341174855 16037.5754234172 30599.8708975074 97863.55324416
2012-02-28 171261.21817728 56271.543115392 79030.6360685917 44901.8862803412 74643.4000108803 15890.000739263 30445.1730816568 95416.964413056
2012-02-29 178600.984670592 58718.131946496 81969.7878035777 46503.151175607 77822.5051683776 16478.9993502405 31058.8042521703 92970.375581952
2012-03-01 178600.984670592 61164.7207776 84892.4483385206 48093.1329771487 80999.894302783 17064.6252549666 31659.1741393498 95416.964413056
2012-03-02 165878.722748851 58718.131946496 81969.7878035777 46503.151175607 77822.5051683776 16478.9993502405 31058.8042521703 90523.786750848
2012-03-03 165144.74609952 56271.543115392 79276.214564384 45035.7695969384 74908.3927732657 15939.2167350025 30496.8364862761 92970.375581952
2012-03-04 170527.241527949 58718.131946496 79276.214564384 45035.7695969384 74908.3927732657 15939.2167350025 30496.8364862761 95416.964413056
2012-03-05 181047.573501696 58718.131946496 80012.2342467735 45436.929188275 75703.2969033856 16086.7183143017 30651.2429639089 100310.142075264
2012-03-06 183494.1623328 61164.7207776 80991.9414867068 45970.6770926298 76762.997696433 16283.0491332727 30855.7757790402 100310.142075264
2012-03-07 171016.55929417 56271.543115392 79276.214564384 45035.7695969384 74908.3927732657 15939.2167350025 30496.8364862761 92970.375581952
2012-03-08 170527.241527949 56271.543115392 78539.1182465464 44633.8724002671 74113.3771371813 15791.4949434668 30341.5511886925 92970.375581952
2012-03-09 176154.395839488 58718.131946496 78293.1779311053 44499.7411380985 73848.3469345828 15742.2049405811 30289.591611303 92970.375581952
2012-03-10 185940.751163904 61164.7207776 79521.6734365013 45169.5709591713 75173.373146316 15988.4082632262 30548.4022474641 95416.964413056
2012-03-11 205513.461812736 68504.487270912 84406.4511609591 47828.8967793763 80470.4456137839 16967.2485290603 31559.9985845187 105203.319737472
2012-03-12 195727.10648832 63611.309608704 87557.7022311677 49541.1522477702 83911.0526397379 17598.6164478868 32198.5457098641 102756.730906368
2012-03-13 278911.126745856 78290.842595328 94524.6440795261 53317.9894568034 91579.6464003058 18994.2180353603 33574.3136127117 129669.208048512
2012-03-14 254445.238434816 73397.66493312 104004.539432082 58439.2298005131 102143.232379729 20892.6771248315 35374.4812323485 127222.619217408
2012-03-15 521123.421025152 107649.908568576 112885.86243738 63219.976976595 112165.236119462 22670.7545748122 36994.5590546263 188387.339995008
2012-03-16 1171916.05009882 249552.060772608 253259.40163507 137279.613940704 282289.640857196 50728.7614925534 57532.3875286477 393900.801807744
2012-03-17 900344.689846272 185940.751163904 299661.138819171 161331.705585038 342098.743067827 59990.4645667119 63072.635423616 340075.847523456
2012-03-18 582288.141802752 127222.619217408 238877.983433581 129790.261081211 264055.039346248 47857.1820061472 55723.3905659158 269124.77142144
2012-03-19 445279.167260928 100310.142075264 195923.706469254 107307.532659332 210552.910810409 39276.8903092191 50002.4659273515 225086.172461568
2012-03-20 411026.923625472 110096.49739968 176604.541812211 97132.8494376241 187009.588295522 35415.8888903212 47244.7160747167 237319.116617088
2012-03-21 477084.82206528 159028.27402176 201872.054268292 110431.958448373 217870.215097181 40465.433551286 50826.4510904518 406133.745963264
2012-03-22 589627.908296064 146795.32986624 235778.72232699 128173.921201841 260145.496342851 47238.2712580948 55327.131819147 425706.456612096
2012-03-23 508890.476869632 119882.852724096 219556.411858692 119699.306512943 239803.070130988 43998.2984066424 53213.266694325 342522.43635456
2012-03-24 479531.410896384 114989.675061888 198263.89988544 108537.192176863 213427.960568583 39744.4996433834 50327.9730230465 298483.837394688
2012-03-25 481977.999727488 117436.263892992 192725.419516768 105626.024952926 206631.550603817 38637.7903701796 49554.7374921702 264231.593759232
2012-03-26 452618.93375424 110096.49739968 185229.866980582 101680.766044675 197477.850021072 37139.850555534 48492.0346335275 234872.527785984
2012-03-27 721743.70517568 112543.086230784 176820.97138626 97247.0752791349 187271.387494312 35459.1504036111 47276.3477889309 234872.527785984
2012-03-28 1000654.83192154 156581.685190656 226650.081463448 123408.080492615 248672.977101585 45415.1615230068 54146.0393613947 261785.004928128
2012-03-29 932150.344650624 169372.357236999 238258.639728299 129467.326380021 263273.192312056 47733.5034975517 55644.3911105584 340075.847523456
2012-03-30 1626722.9657963 461724.849273516 581499.165559938 304795.835867851 729490.329311181 116162.896968519 90611.4697127569 776760.827909074
2012-03-31 2413278.95712191 755667.108673161 901359.240923945 464161.848987997 1203485.39309287 179803.90690304 115134.442766948 1257315.92020572
2012-04-01 1794702.87603978 530444.522110958 657899.386156429 343126.317699127 839952.42950153 131372.362319092 96934.9192587419 889600.295916743
2012-04-02 1308282.8996505 325396.314536832 455382.969855145 241059.993352203 551755.680728364 91041.4874635501 79279.6970837343 677705.106215808
2012-04-03 985975.298934912 274017.949083648 381669.695486094 203485.559540116 450973.015816686 76348.2121801416 71986.7906443116 562715.43115392
2012-04-04 932150.344650624 237319.116617088 344954.062542274 184663.651389683 401769.240239671 69026.3439608271 68115.7971988532 494210.943883008
2012-04-05 775568.659459968 203066.872981632 309594.17968798 166460.062308271 355081.53604897 61972.4507649853 64206.7141734421 430599.634274304
2012-04-06 667918.750891392 178600.984670592 279636.434158378 150971.952104743 316113.342215931 55994.1861619531 60733.2464282799 376774.679990016
2012-04-07 604307.441282688 159028.27402176 253259.40163507 137279.613940704 282289.640857196 50728.7614925534 57532.3875286477 337629.258692352
2012-04-08 560268.842322816 149241.918697344 234330.209277522 127418.192853513 258320.777859643 46948.9996443438 55141.121198779 313163.370381312
2012-04-09 543142.720505088 139455.563372928 221437.612604982 120683.317534222 242151.402253999 44374.0566961455 53461.9480307187 296037.248563584
2012-04-10 584734.730633856 137008.974541824 213267.239944509 116407.10114147 231973.08345677 42741.9986633912 52374.7840563309 293590.65973248
2012-04-11 621433.563100416 137008.974541824 215576.614057949 117616.443411941 234844.478053251 43203.3237392336 52683.9599562066 296037.248563584
2012-04-12 650792.629073664 129669.208048512 214317.440638706 116957.121484538 233278.320707013 42951.7907992275 52515.5707833827 291144.070901376
2012-04-13 743763.004655616 134562.38571072 219765.559036076 119808.723161975 240064.010878362 44040.0747842674 53240.9620793488 288697.482070272
2012-04-14 738869.826993408 127222.619217408 221228.714809493 120574.064821738 241890.491379746 44332.3311575595 53434.3806462374 261785.004928128
2012-04-15 733976.6493312 117436.263892992 213897.45773226 116737.177435828 232756.237420052 42867.8937969868 52459.306771305 254445.238434816
2012-04-16 839179.969068672 127222.619217408 215786.363664597 117726.256287792 235105.490832175 43245.2229333501 52711.9663710457 278911.126745856
2012-04-17 944383.288806144 137008.974541824 236605.815374183 128605.353788386 261188.116596712 47403.4411846206 55433.110445541 300930.426225792
2012-04-18 951723.055299456 144348.741035136 243000.529205309 131938.95828393 269266.575457314 48680.398551433 56246.886715549 318056.54804352
2012-04-19 1195874.45825634 249552.060772608 291677.317507888 157204.746556974 331707.828920038 58397.2611826972 62148.6888317037 550482.4869984
2012-04-20 1530460.31338466 320503.136874624 381669.695486094 203485.559540116 450973.015816686 76348.2121801416 71986.7906443116 692384.639202432
2012-04-21 1303946.9522918 379221.26882112 431036.166967706 228678.810310888 518190.923341707 86189.3564875764 76934.521435671 809820.903095424
2012-04-22 1407620.52765959 386260.752403919 496129.43972777 261721.901576942 608496.95201559 99160.0855562527 83080.8714382291 652408.928434111
2012-04-23 1690479.53123409 484129.996108822 606537.975833061 317379.165210657 765477.507712045 121148.203036455 92723.2507225115 813589.456461326
2012-04-24 1776023.43147474 514488.101642964 640262.315737424 334294.450635016 814281.691256128 127861.775579394 95506.0603742823 863430.277648447
2012-04-25 1714897.52391125 471330.916247404 592250.443889445 310201.550564301 744916.213344465 118303.593932622 91523.1889974938 792555.662581392
2012-04-26 1676870.73517558 479331.532022982 601186.422032149 314691.518541896 757767.888407911 120082.748822139 92275.271686406 805705.217572065
2012-04-27 1422352.23141543 403687.15713216 496129.43972777 261721.901576942 608496.95201559 99160.0855562527 83080.8714382291 768228.892966656
2012-04-28 1428653.8915299 335182.669861248 400769.202226762 213247.375529657 476840.733261722 80156.1370832478 73933.6007782479 638559.684918144
2012-04-29 1421606.59310755 327842.903367936 370137.858407498 197582.102591889 435443.035117946 74048.7786131019 70789.9166051546 633666.507255936
2012-04-30 1559231.44397196 381667.857652224 375910.734123264 200538.307035929 443208.924542155 75199.9112373069 71391.1572658983 716850.527513472
2012-05-01 1516875.3056145 344969.025185664 393146.966617678 209353.932181104 466495.929907556 78636.5416831454 73161.8241404852 663025.573229184
2012-05-02 1264715.13262399 288697.482070272 346901.31849247 185663.854088224 404360.818639932 69414.728887672 68325.6574766537 540696.131673984
2012-05-03 1150964.85288252 310716.781550208 315529.921242193 169521.457591403 362868.186235499 63156.738253569 64876.542004839 548035.898167296
2012-05-04 1132304.3564484 300930.426225792 321448.146273357 172571.503440236 370652.628452383 64337.4589658832 65538.7273802151 516230.243362944
2012-05-05 1125430.86230784 239765.705448192 283658.961822465 153055.340492782 321312.610160342 56797.0239922963 61209.1270728968 430599.634274304
2012-05-06 1074052.49685466 222639.583630464 259383.314834924 140463.469579155 290099.645758813 51951.3787125116 58288.5080496679 406133.745963264
2012-05-07 1167022.87243661 229979.350123776 251212.936898068 136214.956117606 279685.674965786 50320.1709223699 57277.8659336994 408580.334794368
2012-05-08 1093728.8004917 276464.537914752 265484.563541216 143632.523548558 297906.872327862 53169.377974554 59033.820730332 452618.93375424
2012-05-09 1284071.4371476 308270.192719104 301651.841093 162360.033725748 344695.81491791 60387.6955652495 63301.2688006877 513783.65453184
2012-05-10 1260112.8723186 278911.126745856 309594.17968798 166460.062308271 355081.53604897 61972.4507649853 64206.7141734421 477084.82206528
2012-05-11 1374982.92308045 251998.649603712 277621.759577808 149928.037409333 313513.285489423 55592.0724717171 60493.7359888506 420813.278949888
2012-05-12 1097829.42230185 269124.77142144 269539.80988258 145737.230875777 303110.183588726 53978.881106935 59524.9077121345 423259.867780992
2012-05-13 1233472.62530006 320503.136874624 287672.534973906 155132.902011709 326510.766339952 57598.0378438744 61680.9076695737 481977.999727488
2012-05-14 1426771.95634273 376774.679990016 327349.277588636 175610.482115105 378434.91029116 65514.6992051627 66193.5173767823 587181.31946496
2012-05-15 1602603.93440665 271386.197147001 362418.55025625 193626.242406834 425085.661676849 72509.429088435 69979.270009298 655685.806735872
2012-05-16 1591650.47244492 396347.390638848 373988.002157388 199553.909432613 440620.496130183 74816.5178296171 71191.3742820099 631219.918424832
2012-05-17 1366149.26378375 332736.081030144 343005.075725197 183662.331251155 399177.440875188 68637.6066907348 67905.2117076768 555375.664660608
2012-05-18 1125987.11340927 264231.593759232 297668.353827529 160302.025184379 339501.410605914 59592.809406999 62843.0718871075 450172.344923136
