LINE_NO,FID,row,col,layer,x,y,z,GROUND_SURFACE_ELEVATION_m,TOP_DEPTH_m,BOT_DEPTH_m,RHO_I,RHO_I_STD
100101,10.0,125,14,1,501406.6570353209,4602749.352661936,872.3354780273437,923.3,45.563,53.846,335.5,1.0646
100101,10.0,125,14,1,501406.6570353209,4602749.352661936,863.4814780273438,923.3,53.846,63.271,411.8,1.0694
100101,10.0,125,14,1,501406.6570353209,4602749.352661936,853.4089780273438,923.3,63.271,73.991,413.6,1.0718
100101,10.0,125,14,1,501406.6570353209,4602749.352661936,841.9489780273437,923.3,73.991,86.191,414.5,1.0725
100101,10.0,125,14,1,501406.6570353209,4602749.352661936,828.9039780273438,923.3,86.191,100.081,414.6,1.0724
100101,10.0,125,14,1,501406.6570353209,4602749.352661936,814.0589780273438,923.3,100.081,115.881,413.9,1.0723
100101,10.0,125,14,1,501406.6570353209,4602749.352661936,797.1689780273438,923.3,115.881,133.861,412.5,1.0727
100101,10.0,125,14,1,501406.6570353209,4602749.352661936,777.9489780273437,923.3,133.861,154.321,410.4,1.0744
100101,10.0,125,14,1,501406.6570353209,4602749.352661936,756.0789780273437,923.3,154.321,177.601,407.6,1.0778
100101,11.0,125,14,0,501441.5790558598,4602760.851275866,921.0399780273438,919.6,0.0,2.0,126.9,1.105
100101,11.0,125,14,0,501441.5790558598,4602760.851275866,918.9019780273437,919.6,2.0,4.276,126.8,1.0924
100101,11.0,125,14,0,501441.5790558598,4602760.851275866,916.4689780273437,919.6,4.276,6.866,126.5,1.0807
100101,11.0,125,14,0,501441.5790558598,4602760.851275866,913.7004780273437,919.6,6.866,9.813,126.1,1.0693
100101,11.0,125,14,0,501441.5790558598,4602760.851275866,910.5504780273437,919.6,9.813,13.166,53.23,1.0574
100101,11.0,125,14,0,501441.5790558598,4602760.851275866,906.9659780273438,919.6,13.166,16.982,49.5,1.0479
100101,11.0,125,14,1,501441.5790558598,4602760.851275866,902.8869780273437,919.6,16.982,21.324,49.49,1.0411
100101,11.0,125,14,1,501441.5790558598,4602760.851275866,898.2454780273438,919.6,21.324,26.265,49.82,1.038
100101,11.0,125,14,1,501441.5790558598,4602760.851275866,892.9639780273437,919.6,26.265,31.887,50.41,1.0399
100101,11.0,125,14,1,501441.5790558598,4602760.851275866,886.9544780273437,919.6,31.887,38.284,52.3,1.0467
100101,11.0,125,14,1,501441.5790558598,4602760.851275866,880.1164780273438,919.6,38.284,45.563,234.8,1.0571
100101,11.0,125,14,1,501441.5790558598,4602760.851275866,872.3354780273437,919.6,45.563,53.846,341.3,1.0638
100101,11.0,125,14,1,501441.5790558598,4602760.851275866,863.4814780273438,919.6,53.846,63.271,377.4,1.0677
100101,11.0,125,14,1,501441.5790558598,4602760.851275866,853.4089780273438,919.6,63.271,73.991,379.0,1.0694
100101,11.0,125,14,1,501441.5790558598,4602760.851275866,841.9489780273437,919.6,73.991,86.191,379.7,1.0697
100101,11.0,125,14,1,501441.5790558598,4602760.851275866,828.9039780273438,919.6,86.191,100.081,379.4,1.0692
100101,11.0,125,14,1,501441.5790558598,4602760.851275866,814.0589780273438,919.6,100.081,115.881,378.2,1.0687
