WELL_INFO_ID,row,col,layer,x,y,z,GROUND_SURFACE_ELEVATION_m,TOP_DEPTH_m,BOT_DEPTH_m,tex
17007,189,62,1,506190.83839947195,4596422.715132296,864.5516244140625,927.229032,42.9768,45.72,Very_Coarse
17011,189,62,0,506190.83839947195,4596422.715132296,902.3468244140626,927.229032,1.2192,11.8872,Mixed_Fine
17011,189,62,0,506190.83839947195,4596422.715132296,896.8604244140625,927.229032,11.8872,12.192,Mixed_Coarse
17011,189,62,0,506190.83839947195,4596422.715132296,895.1840244140625,927.229032,12.192,15.24,Mixed_Fine
17017,254,127,0,512681.4955983508,4589913.28800328,846.7027731445313,847.92312,0.0,0.9144,Mixed_Fine
17017,254,127,0,512681.4955983508,4589913.28800328,842.8927731445312,847.92312,0.9144,7.62,Mixed_Coarse
17017,254,127,0,512681.4955983508,4589913.28800328,838.7779731445313,847.92312,7.62,9.144,Mixed_Coarse
17019,123,159,0,515903.78744648985,4602937.571983027,876.6391755859376,880.625112,0.0,20.4216,Mixed_Coarse
17019,123,159,1,515903.78744648985,4602937.571983027,865.6663755859375,880.625112,20.4216,21.9456,Sand
17019,123,159,1,515903.78744648985,4602937.571983027,862.4659755859375,880.625112,21.9456,26.8224,Mixed_Fine
17019,123,159,1,515903.78744648985,4602937.571983027,858.9607755859375,880.625112,26.8224,28.956,Mixed_Coarse
17019,123,159,1,515903.78744648985,4602937.571983027,851.0359755859375,880.625112,28.956,42.672,Mixed_Coarse
17019,123,159,1,515903.78744648985,4602937.571983027,843.1111755859375,880.625112,42.672,44.8056,Mixed_Coarse
17019,123,159,1,515903.78744648985,4602937.571983027,841.2823755859375,880.625112,44.8056,46.3296,Mixed_Coarse
17019,123,159,1,515903.78744648985,4602937.571983027,839.3011755859375,880.625112,46.3296,48.768,Fine
17019,123,159,1,515903.78744648985,4602937.571983027,828.4807755859375,880.625112,48.768,67.9704,Very_Coarse
17019,123,159,1,515903.78744648985,4602937.571983027,812.6311755859375,880.625112,67.9704,80.4672,Very_Coarse
17019,123,159,1,515903.78744648985,4602937.571983027,805.9255755859375,880.625112,80.4672,81.3816,Sand
17019,123,159,1,515903.78744648985,4602937.571983027,794.8003755859374,880.625112,81.3816,102.7176,Very_Coarse
17019,123,159,1,515903.78744648985,4602937.571983027,776.5123755859374,880.625112,102.7176,117.9576,Very_Coarse
17020,188,94,0,509392.9912897587,4596482.508090948,838.3715975585937,842.78724,0.0,4.8768,Mixed_Fine
17020,188,94,1,509392.9912897587,4596482.508090948,821.4551975585938,842.78724,4.8768,33.8328,Mixed_Fine
17025,221,110,0,511060.8941038341,4593190.521313929,840.20598046875,843.378552,0.0,3.048,Mixed_Fine
17025,221,110,0,511060.8941038341,4593190.521313929,837.91998046875,843.378552,3.048,4.572,Mixed_Fine
17025,221,110,1,511060.8941038341,4593190.521313929,823.59438046875,843.378552,4.572,31.6992,Mixed_Coarse
17027,222,171,0,517079.2011685037,4593100.350642564,938.6452122070312,959.074536,0.0,0.6096,Mixed_Fine
17027,222,171,0,517079.2011685037,4593100.350642564,931.4824122070313,959.074536,0.6096,14.3256,Mixed_Fine
17027,222,171,0,517079.2011685037,4593100.350642564,924.4720122070313,959.074536,14.3256,14.6304,Mixed_Fine
17027,222,171,1,517079.2011685037,4593100.350642564,922.9480122070313,959.074536,14.6304,17.3736,Mixed_Coarse
17027,222,171,1,517079.2011685037,4593100.350642564,920.6620122070312,959.074536,17.3736,19.2024,Very_Coarse
17028,319,110,0,511038.608374743,4583420.267364215,876.4756146484375,878.61648,0.0,1.8288,Mixed_Fine
17028,319,110,0,511038.608374743,4583420.267364215,873.8848146484376,878.61648,1.8288,5.1816,Mixed_Coarse
17028,319,110,0,511038.608374743,4583420.267364215,870.9892146484375,878.61648,5.1816,7.62,Mixed_Fine
17028,319,110,0,511038.608374743,4583420.267364215,867.4840146484376,878.61648,7.62,12.192,Mixed_Fine
17028,319,110,0,511038.608374743,4583420.267364215,863.9788146484375,878.61648,12.192,14.6304,Mixed_Coarse
17028,319,110,1,511038.608374743,4583420.267364215,861.8452146484375,878.61648,14.6304,16.4592,Mixed_Fine
17028,319,110,1,511038.608374743,4583420.267364215,860.0164146484375,878.61648,16.4592,18.288,Mixed_Coarse
