Month	East_Fork_Avg_Flow_m3day	South_Fork_Avg_Flow_m3day	Sugar_Avg_Flow_m3day	French_Avg_Flow_m3day	Etna_Avg_Flow_m3day	Johnson_Avg_Flow_m3day	Crystal_Avg_Flow_m3day	Patterson_Avg_Flow_m3day	Kidder_Avg_Flow_m3day	Moffett_Avg_Flow_m3day	Mill_Avg_Flow_m3day	Shackleford_Avg_Flow_m3day
1997-09-01	16660.2096274248	19862.7060865926	5746.89017610542	5194.56743998115	12011.0789826936	692.143907367787	519.10793052584	3460.71953683893	11324.1852393094	1994.95367906878	15681.601852429	22475.5513917401
1997-10-01	34442.7784066061	34497.3668896592	10399.3727793297	11569.1192122943	24034.3808045185	1452.53187623747	1089.3989071781	7262.65938118736	25874.8237279617	4276.02412375377	22252.3913255115	37272.722741893
1997-11-01	70573.284235238	60406.6923683491	18896.581856305	25351.4081357746	47818.8118198617	3016.75651567836	2262.56738675877	15083.7825783918	58023.9539930814	9051.73753919313	32473.450068111	62602.6969423879
1997-12-01	90878.2224509448	72849.6826297974	23143.7949208984	33572.9497935861	60825.6694705759	3906.70161578084	2930.02621183563	19533.5080789042	77585.2805933317	11815.6034130297	36294.7598774159	74196.5896398097
1998-01-01	506164.636695394	273564.882505719	95367.2242953559	221295.916403242	314678.686731888	22509.9342031411	16882.4506523558	112549.671015706	541901.688810981	71414.2207355175	86282.3497583025	250967.079895118
1998-02-01	555872.273127401	300989.709267862	104881.785100135	242835.022824051	345701.950436785	24716.5528193448	18537.4146145086	123582.764096724	594483.330012982	78397.1658869207	95137.2241776814	276262.764622113
1998-03-01	819943.913117628	396703.043540012	141949.18875114	375848.618854758	499294.642511978	36813.2837808289	27609.9628356217	184066.418904144	935462.409565301	118371.606151566	110041.450464933	353402.682942094
1998-04-01	474141.971013174	262096.294794228	90885.5281025774	205309.674047821	296016.320492925	21044.9986070046	15783.7489552535	105224.993035023	501093.530313143	66584.429205523	84853.5027714245	241886.631834853
1998-05-01	569798.165804691	299698.420116093	105148.808754909	252026.888328628	352441.016007765	25399.1583798637	19049.3687848978	126995.791899319	619624.690724865	80846.5796526169	91591.3854088062	272967.091474432
1998-06-01	591219.093348252	310671.686713177	109023.020798563	261607.113455938	365625.986599278	26356.1534440221	19767.1150830165	131780.76722011	643267.576780362	83902.3458125807	94841.0003056517	282890.74468632
1998-07-01	235890.77475291	151911.630225445	50815.8426085828	95690.9324434259	151543.011307818	10333.4144695709	7750.06085217815	51667.0723478543	228367.085927965	32093.9178357401	58711.8498092282	145992.733421162
1998-08-01	48607.8578577375	44983.4703424544	13815.4307460365	16888.159745959	33420.4230372558	2063.90216580254	1547.92662435191	10319.5108290127	38212.5299268569	6134.35418087879	26473.7293290187	47593.8957246089
