Month East_Fork_Avg_Flow_m3day South_Fork_Avg_Flow_m3day Sugar_Avg_Flow_m3day French_Avg_Flow_m3day Etna_Avg_Flow_m3day Johnson_Avg_Flow_m3day Crystal_Avg_Flow_m3day Patterson_Avg_Flow_m3day Kidder_Avg_Flow_m3day Moffett_Avg_Flow_m3day Mill_Avg_Flow_m3day Shackleford_Avg_Flow_m3day
1996-11-01 412394.75169595 235382.803910773 81008.7280288851 176145.235064151 357939.173295989 25766.1410727017 19324.6058045262 128830.705363508 427894.174580179 81973.410970605 79088.8458660327 278468.941691636
1996-12-01 879582.972818415 418753.90612556 150409.471899183 405972.275951852 748396.025278539 56663.0538021071 42497.2903515803 283315.269010535 1012834.04384073 184355.65848942 114007.104921503 477087.426933835
1997-01-01 1105388.6906431 499364.656788633 181593.608480233 521756.609007496 935127.834577307 71842.2820497119 53881.7115372839 359211.410248559 1311768.58316856 235261.517646976 127929.80912907 562762.985429707
1997-02-01 411826.914851178 238886.433355498 81902.2637368768 174692.790555498 358080.21886133 25660.6589517668 19245.4942138251 128303.294758834 423359.781609261 81475.0693876097 81783.9492340065 283563.680387166
1997-03-01 301601.395688054 183576.130275842 62229.380493316 125331.608123688 263628.386510183 18640.6225984066 13980.466948805 93203.1129920332 301594.302681598 58834.8282778959 66456.7994356098 220098.781564343
1997-04-01 333190.38096926 199716.678150936 67945.832622901 139368.908704532 290750.604709835 20646.334523521 15484.7508926407 103231.672617605 336129.967952873 65288.9932461027 71025.1604846176 238688.908930545
1997-05-01 247563.016964511 157670.791449505 52880.2617510491 100902.708973305 217472.128991617 15184.2440237428 11388.1830178071 75921.220118714 241197.632196425 47657.9711099598 60159.2057697241 190827.455676813
1997-06-01 114115.020566051 87474.543811174 28084.439228172 42970.8865011531 102302.888311062 6783.87168832363 5087.90376624272 33919.3584416182 99958.3736328508 20810.2771249029 41377.5235302377 110023.650861984
1997-07-01 40381.2285407633 38995.120781766 11856.7902586885 13777.0810070418 37130.0702037477 2308.86835327053 1731.6512649529 11544.3417663526 30978.7908597407 6883.49160481424 24110.7235110452 51457.1575119856
1997-08-01 17777.4127574658 20724.659643417 6028.04200107324 5596.27329352646 16687.3069640487 984.677159949411 738.507869962058 4923.38579974705 12240.1749634388 2868.13055724208 15942.0487149874 28438.7665515532
1997-09-01 22574.9833162582 25101.409161449 7382.91380833529 7251.66699709736 21080.9984638445 1260.42901357804 945.321760183532 6302.14506789022 15971.5131505467 3692.85352898833 18277.7745916213 34107.7824447488
1997-10-01 43899.5057143327 41587.4783788405 12702.2703562912 15100.6521101697 40280.271242 2518.16296929002 1888.62222696751 12590.8148464501 34050.7512746617 7525.27388012554 25148.0380188248 54659.8436490099
1997-11-01 85118.8341734756 69789.3401758111 22054.0478829882 31143.6692277404 76873.4606903007 5003.01128771041 3752.2584657828 25015.056438552 71733.1954825224 15220.2279044143 35691.6104409635 89015.0732242038
1997-12-01 107112.525109578 82684.353558869 26502.7072001624 40213.4188140002 96099.0873610226 6360.06619877924 4770.04964908443 31800.3309938962 93447.680786542 19493.3183998239 39430.9073454159 104150.173657432
1998-01-01 519426.457517457 279070.765428083 97422.7848982414 227670.802765215 447856.032458474 32786.2106107466 24589.65795806 163931.053053733 557998.861949319 105089.798296059 87414.9509352794 326031.58948342
1998-02-01 570809.494877845 307202.244967865 107200.191500804 250009.791134571 492251.492795711 36019.1156225782 27014.3367169337 180095.578112891 612595.527187714 115427.846959122 96417.8378765226 359024.454729633
1998-03-01 809322.752002256 392737.96920198 140431.3499401 370505.951679354 690059.829867897 51969.0998117226 38976.8248587919 259845.499058613 921759.400219088 168684.964515951 109320.372157814 449226.899998272
