Day Scott_River_Avg_Flow_m3day Sugar_Avg_Flow_m3day Miners_Avg_Flow_m3day French_Avg_Flow_m3day Etna_Avg_Flow_m3day Johnson_Avg_Flow_m3day Crystal_Avg_Flow_m3day Patterson_Avg_Flow_m3day Kidder_Avg_Flow_m3day Moffett_Avg_Flow_m3day Mill_Avg_Flow_m3day Shackleford_Avg_Flow_m3day
2008-09-01 17126.121817728 4129.07233180831 244.6588831104 244.6588831104 6414.65607387215 597.571934059829 448.178950544872 2987.85967029914 5039.97299207424 1300.28251332518 7718.15967812622 2935.9065973248
2008-09-02 17615.4395839488 3978.17192881626 366.9883246656 366.9883246656 6121.87160006901 571.374079397908 428.530559548431 2856.87039698954 5039.97299207424 1241.12162194215 7523.60715654864 2691.2477142144
2008-09-03 19328.0517657216 3863.27822201661 366.9883246656 366.9883246656 5900.83374569711 551.562558241778 413.671918681334 2757.81279120889 5039.97299207424 1196.45200800476 7373.91870175705 2691.2477142144
2008-09-04 20306.6872981632 3843.97937182231 366.9883246656 366.9883246656 5863.86842899405 548.246477203279 411.184857902459 2741.2323860164 5260.1659868736 1188.98115069475 7348.63893043505 2446.588831104
2008-09-05 19328.0517657216 3843.97937182231 366.9883246656 366.9883246656 5863.86842899405 548.246477203279 411.184857902459 2741.2323860164 4648.5187790976 1188.98115069475 7348.63893043505 2201.9299479936
2008-09-06 18594.0751163904 3978.17192881626 366.9883246656 366.9883246656 6121.87160006901 571.374079397908 428.530559548431 2856.87039698954 4648.5187790976 1241.12162194215 7523.60715654864 2201.9299479936
2008-09-07 18349.41623328 4072.7815092593 366.9883246656 366.9883246656 6305.11339780733 587.776018015654 440.832013511741 2938.88009007827 4648.5187790976 1278.14904517364 7645.85080179262 2446.588831104
2008-09-08 17860.0984670592 4147.75884724208 244.6588831104 244.6588831104 6451.10474769316 600.829873821982 450.622405366487 3004.14936910991 4452.79167260928 1307.64681838983 7742.09499039344 2446.588831104
2008-09-09 17370.7807008384 4147.75884724208 122.3294415552 122.3294415552 6451.10474769316 600.829873821982 450.622405366487 3004.14936910991 4648.5187790976 1307.64681838983 7742.09499039344 2201.9299479936
2008-09-10 17860.0984670592 4240.62789357509 244.6588831104 244.6588831104 6632.8672980655 617.065583133756 462.799187350317 3085.32791566878 4452.79167260928 1344.36919753056 7860.55125668218 2446.588831104
2008-09-11 17370.7807008384 4314.26551611868 244.6588831104 244.6588831104 6777.71414831112 629.9909587969 472.493219097675 3149.9547939845 4452.79167260928 1373.63097637859 7953.8987731248 3180.5654804352
2008-09-12 17370.7807008384 4295.9097107074 366.9883246656 366.9883246656 6741.54847651563 626.764777752026 470.073583314019 3133.82388876013 4648.5187790976 1366.32502438652 7930.67700623552 2691.2477142144
2008-09-13 17126.121817728 4332.58607054839 244.6588831104 244.6588831104 6813.84948552007 633.213739445634 474.910304584226 3166.06869722817 4648.5187790976 1380.93067414448 7977.04500467052 2691.2477142144
2008-09-14 16881.4629346176 4387.33904150284 244.6588831104 244.6588831104 6922.07558906766 642.861921533515 482.146441150136 3214.30960766757 4452.79167260928 1402.79267599668 8046.03750168493 2935.9065973248
2008-09-15 15902.827402176 4405.52138593046 244.6588831104 244.6588831104 6958.09167382281 646.071341525942 484.553506144456 3230.35670762971 4452.79167260928 1410.0677879658 8068.88855282847 2691.2477142144
2008-09-16 15902.827402176 4332.58607054839 366.9883246656 366.9883246656 6813.84948552007 633.213739445634 474.910304584226 3166.06869722817 4648.5187790976 1380.93067414448 7977.04500467052 2446.588831104
2008-09-17 16147.4862852864 4277.51836690041 366.9883246656 366.9883246656 6705.35225601465 623.535171568942 467.651378676706 3117.67585784471 4257.06456612096 1359.01277391309 7907.37898602655 2935.9065973248
2008-09-18 15168.8507528448 4441.78471882736 366.9883246656 366.9883246656 7030.03612637328 652.480359865791 489.360269899343 3262.40179932896 4648.5187790976 1424.59992852103 8114.37498724609 2935.9065973248
2008-09-19 13211.5796879616 4459.86623203361 244.6588831104 244.6588831104 7065.96488780384 655.680003636349 491.760002727261 3278.40001818174 5260.1659868736 1431.85703845665 8137.01167020293 3669.883246656
2008-09-20 14434.8741035136 4549.78244420318 244.6588831104 244.6588831104 7245.18169972295 671.630451223654 503.72283841774 3358.15225611827 4648.5187790976 1468.05456628612 8249.15488118963 3425.2243635456
2008-09-21 15413.5096359552 4674.33340758981 244.6588831104 244.6588831104 7494.92290121218 693.831150679344 520.373363009508 3469.15575339672 4844.24588558592 1518.49151522225 8403.35111304634 3425.2243635456
2008-09-22 15902.827402176 4797.40108274932 244.6588831104 244.6588831104 7743.36144008871 715.886416465272 536.914812348954 3579.43208232636 4844.24588558592 1568.65997527841 8554.44773142334 3180.5654804352
2008-09-23 16636.8040515072 4762.38595059047 244.6588831104 244.6588831104 7672.50865383891 709.599375771404 532.199531828552 3547.99687885702 5260.1659868736 1554.35285047669 8511.58311477506 3180.5654804352
2008-09-24 16636.8040515072 4779.90801664119 244.6588831104 244.6588831104 7707.94785483859 712.74432439519 534.558243296392 3563.72162197595 4844.24588558592 1561.50905243722 8533.04550859513 3425.2243635456
2008-09-25 18349.41623328 4867.08733248623 122.3294415552 122.3294415552 7884.76267588094 728.42656996342 546.319927472565 3642.1328498171 4844.24588558592 1597.21150603181 8639.46453124511 3425.2243635456
2008-09-26 18594.0751163904 4936.325237744 122.3294415552 122.3294415552 8025.76606729216 740.922398090208 555.691798567656 3704.61199045104 4844.24588558592 1625.68105151384 8723.55631965653 3669.883246656
2008-09-27 18594.0751163904 5090.53203448405 244.6588831104 244.6588831104 8341.61592225409 768.881322965269 576.660992223952 3844.40661482635 4844.24588558592 1689.44744663555 8909.52632484421 3180.5654804352
2008-09-28 18594.0751163904 5090.53203448405 244.6588831104 244.6588831104 8341.61592225409 768.881322965269 576.660992223952 3844.40661482635 4844.24588558592 1689.44744663555 8909.52632484421 3180.5654804352
2008-09-29 18104.7573501696 5107.53526788215 122.3294415552 122.3294415552 8376.59316883615 771.974838209461 578.981128657096 3859.87419104731 4452.79167260928 1696.5084570929 8929.92270647509 3669.883246656
2008-09-30 18104.7573501696 5090.53203448405 122.3294415552 122.3294415552 8341.61592225409 768.881322965269 576.660992223952 3844.40661482635 5722.11310950125 1689.44744663555 8909.52632484421 3914.5421297664
2008-10-01 17860.0984670592 5107.53526788215 366.9883246656 366.9883246656 8376.59316883615 771.974838209461 578.981128657096 3859.87419104731 5651.62019985024 1696.5084570929 8929.92270647509 3669.883246656
2008-10-02 20796.005064384 5175.29420141403 1467.9532986624 1467.9532986624 8516.27378208112 784.323521707553 588.242641280665 3921.61760853776 8000.34547771008 1724.70544710801 9010.99261658826 3669.883246656
2008-10-03 41102.6923625472 5687.60005417423 4281.530454432 4281.530454432 9587.15690084675 878.734606554083 659.050954915562 4393.67303277041 12771.1936983629 1940.83395193644 9613.54928701007 4403.8598959872
2008-10-04 63855.9684918144 6117.31626453 10275.6730906368 10275.6730906368 10504.6660290641 959.283385339807 719.462539004855 4796.41692669903 25224.3308486822 2125.94541119276 10105.8982979892 7339.766493312
2008-10-05 56760.8608816128 6226.49209769947 6728.119285536 6728.119285536 10740.4489689656 979.936040878231 734.952030658673 4899.68020439116 20233.2896332301 2173.50698744404 10229.2338206463 8073.7431426432
2008-10-06 46729.8466740864 6639.79389974317 5015.5071037632 5015.5071037632 11642.4933205013 1058.78224611637 794.086684587279 5293.91123058186 12379.7394853862 2355.43461074237 10690.1261606572 5871.8131946496
2008-10-07 41836.6690118784 7246.14497964145 4036.8715713216 4036.8715713216 12991.8071516981 1176.26898933498 882.201742001234 5881.34494667489 9394.90111143936 2627.48484549898 11350.323102049 5871.8131946496
2008-10-08 41836.6690118784 7476.57440248131 3547.5538051008 3547.5538051008 13512.3126999415 1221.45561811073 916.091713583049 6107.27809055366 12771.1936983629 2732.40474553472 11596.6156539682 6361.1309608704
2008-10-09 41836.6690118784 7490.86912593304 3792.2126882112 3792.2126882112 13544.7385203026 1224.26824543181 918.201184073857 6121.34122715905 12795.6595866739 2738.94047872716 11611.8152419353 6361.1309608704
2008-10-10 44527.9167260928 7576.38018083427 4893.177662208 4893.177662208 13739.0384107454 1241.11621408097 930.837160560725 6205.58107040484 12037.2170490317 2778.10241534687 11702.5496868085 7584.4253764224
2008-10-11 45751.2111416448 7914.17151771191 5015.5071037632 5015.5071037632 14512.0018759238 1308.046851967 981.035138975247 6540.23425983498 10177.8095373926 2933.8788225351 12057.8783082307 9541.6964413056
2008-10-12 50155.071037632 8025.32125671581 4526.1893375424 4526.1893375424 14768.2062378883 1330.19935501111 997.649516258331 6650.99677505554 8930.0492335296 2985.50603729911 12173.7502055193 10520.3319737472
2008-10-13 49910.4121545216 7760.17654701461 5015.5071037632 5015.5071037632 14158.5522198411 1277.46011308707 958.095084815306 6387.30056543537 8391.79969068672 2862.65104654759 11896.4918663089 9786.355324416
2008-10-14 50644.3888038528 7802.31127222972 4648.5187790976 4648.5187790976 14255.0838856594 1285.81677602882 964.362582021611 6429.08388014408 8196.0725841984 2882.10483830552 11940.7482079059 8563.060908864
2008-10-15 50889.0476869632 7872.30821670896 4281.530454432 4281.530454432 14415.7421524532 1299.71976429884 974.789823224127 6498.59882149418 8171.60669588736 2914.48096243198 12014.1040891768 6361.1309608704
2008-10-16 51378.365453184 7928.10370050111 4281.530454432 4281.530454432 14544.0661080212 1310.82011905586 983.115089291892 6554.10059527928 8196.0725841984 2940.34018079952 12072.4302980427 6116.47207776
2008-10-17 47953.1410896384 7942.02481990353 4281.530454432 4281.530454432 14576.1192229091 1313.59217779322 985.194133344914 6567.96088896609 8171.60669588736 2946.79925264296 12086.9627076 5871.8131946496
2008-10-18 47219.1644403072 7914.17151771191 4281.530454432 4281.530454432 14512.0018759238 1308.046851967 981.035138975247 6540.23425983498 8122.67491926528 2933.8788225351 12057.8783082307 6361.1309608704
2008-10-19 45995.8700247552 7955.93491282216 4036.8715713216 4036.8715713216 14608.1612527153 1316.36303177827 987.272273833699 6581.81515889133 8024.81136602112 2953.25604468929 12101.475612971 6116.47207776
2008-10-20 45751.2111416448 7969.8340159436 3914.5421297664 3914.5421297664 14640.1922293938 1319.13268459035 989.349513442761 6595.66342295174 7878.01603615488 2959.71056352643 12115.969089736 6361.1309608704
2008-10-21 45995.8700247552 8011.4657501824 4036.8715713216 4036.8715713216 14736.2191576176 1327.43447148831 995.575853616236 6637.17235744157 7804.61837122176 2979.06054612862 12159.3336969759 6361.1309608704
2008-10-22 45995.8700247552 8231.87618301772 4036.8715713216 4036.8715713216 15246.7219618373 1371.5324858599 1028.64936439493 6857.66242929951 7755.68659459968 3081.92301996174 12387.7508092226 6361.1309608704
2008-10-23 45995.8700247552 8395.4459575842 4036.8715713216 4036.8715713216 15627.8368455838 1404.41479854572 1053.31109890929 7022.07399272857 7633.35715304448 3158.70750030831 12556.0213668393 6361.1309608704
2008-10-24 45995.8700247552 8463.1753338855 3669.883246656 3669.883246656 15786.202103232 1418.0688679894 1063.55165099205 7090.344339947 7511.02771148928 3190.61208026038 12625.3949696156 6116.47207776
2008-10-25 45995.8700247552 8204.471866708 3547.5538051008 3547.5538051008 15183.0578512761 1366.03637841843 1024.52728381382 6830.18189209215 7413.16415824512 3069.09579792125 12359.4565785379 5871.8131946496
2008-10-26 45995.8700247552 8052.99987656542 3669.883246656 3669.883246656 14832.1477415985 1335.72557481616 1001.79418111212 6678.6278740808 7315.30060500096 2998.39030362134 12202.5261217446 5627.1543115392
2008-10-27 48197.7999727488 7997.59939847004 3914.5421297664 3914.5421297664 14704.2211503203 1324.66840091487 993.501300686155 6623.34200457437 7339.766493312 2972.61280774677 12144.8980573578 6116.47207776
2008-10-28 58718.131946496 7969.8340159436 3669.883246656 3669.883246656 14640.1922293938 1319.13268459035 989.349513442761 6595.66342295174 7462.0959348672 2959.71056352643 12115.969089736 6850.4487270912
2008-10-29 52357.0009856256 8039.16595370164 3792.2126882112 3792.2126882112 14800.1824222362 1332.96305496583 999.722291224372 6664.81527482915 7559.95948811136 2991.94928767065 12188.1476561942 7339.766493312
2008-10-30 61164.7207776 8231.87618301772 3792.2126882112 3792.2126882112 15246.7219618373 1371.5324858599 1028.64936439493 6857.66242929951 7559.95948811136 3081.92301996174 12387.7508092226 8807.7197919744
2008-10-31 234872.527785984 8584.47518389276 4770.8482206528 4770.8482206528 16070.6328882275 1442.57831027998 1081.93373270999 7212.8915513999 8000.34547771008 3247.91147360999 12749.2052359636 11009.649739968
2008-11-01 782908.42595328 9075.27476385183 7217.4370517568 7217.4370517568 17231.8528363726 1542.46239033128 1156.84679274846 7712.31195165638 9370.43522312832 3481.80903351093 13244.6641565263 12966.9208048512
2008-11-02 643452.862580352 19421.2675071369 20796.005064384 20796.005064384 44765.949624385 3855.52566529191 2891.64424896893 19277.6283264595 14141.2834437811 9017.30057936206 22316.2277514164 14924.1918697344
2008-11-03 384114.446483328 22733.4857195311 19572.710648832 19572.710648832 54546.0381884954 4660.50336573172 3495.37752429879 23302.5168286586 19646.1083137651 10980.2880925889 24860.9265434715 14924.1918697344
2008-11-04 335182.669861248 21860.9904042106 23242.593895488 23242.593895488 51932.1130053461 4445.97522292209 3334.48141719157 22229.8761146105 25322.1944019264 10455.761329579 24202.6199995289 12722.2619217408
2008-11-05 203066.872981632 19883.1474870374 15902.827402176 15902.827402176 46105.8981928167 3966.20288636554 2974.65216477416 19831.0144318277 30288.7697290675 9286.32127729751 22678.8220458372 15413.5096359552
2008-11-06 283804.304408064 17325.9464605218 36698.83246656 36698.83246656 38791.1740297381 3360.3278481584 2520.2458861188 16801.639240792 48393.5270792371 7817.41874060859 20635.8095831189 41592.010128768
2008-11-07 261785.004928128 20066.5430361557 31805.654804352 31805.654804352 46640.1567903016 4010.29520781783 3007.72140586338 20051.4760390892 67819.4423982029 9393.57695654947 22822.0588522616 73397.66493312
2008-11-08 266678.182590336 20066.5430361557 31805.654804352 31805.654804352 46640.1567903016 4010.29520781783 3007.72140586338 20051.4760390892 93826.6816728384 9393.57695654947 22822.0588522616 80737.431426432
2008-11-09 266678.182590336 21062.0622196912 34252.243635456 34252.243635456 49561.7729271481 4251.06142914784 3188.29607186088 21255.3071457392 100628.198623308 9980.03997363743 23592.5418272624 90523.786750848
2008-11-10 217746.405968256 20157.9569076665 24465.88831104 24465.88831104 46906.9247805653 4032.30389984371 3024.22792488278 20161.5194992185 103759.832327121 9447.13076740518 22893.3017919394 70951.076102016
2008-11-11 212853.228306048 19048.158522241 20796.005064384 20796.005064384 43689.4375164656 3766.51099113925 2824.88324335444 18832.5549556963 114549.289072289 8801.15098862981 22021.3398765715 68504.487270912
2008-11-12 364541.735834496 21151.5023934256 53824.954284288 53824.954284288 49826.0111847976 4272.80815157161 3204.60611367871 21364.0407578581 168251.913915022 10033.075524489 23661.1972692616 137008.974541824
2008-11-13 344969.025185664 27051.3657266208 50155.071037632 50155.071037632 67847.1193510242 5746.10066862351 4309.57550146763 28730.5033431175 183567.559997733 13648.1783139367 28009.56532115 144348.741035136
2008-11-14 286250.893239168 26489.0912347126 39145.421297664 39145.421297664 66082.2385607978 5602.5908501118 4201.94313758385 28012.954250559 186283.273600259 13294.2895192184 27609.0191955648 107649.908568576
2008-11-15 207960.05064384 23335.3092605829 26912.477142144 26912.477142144 56364.070976791 4809.46569783589 3607.09927337692 24047.3284891794 163872.519907346 11345.0577560541 25310.38410442 88077.197919744
2008-11-16 176154.395839488 21151.5023934256 23242.593895488 23242.593895488 49826.0111847976 4272.80815157161 3204.60611367871 21364.0407578581 144666.79758318 10033.075524489 23661.1972692616 78290.842595328
2008-11-17 154135.096359552 19791.1624804897 19572.710648832 19572.710648832 45838.4039187665 3944.11886493449 2958.08914870086 19720.5943246724 137571.689972978 9232.61865573963 22606.8230451086 68504.487270912
2008-11-18 137008.974541824 18860.3612782031 18349.41623328 18349.41623328 43149.6188516548 3721.84121750173 2791.3809131263 18609.2060875086 121032.749474715 8692.75596704025 21872.227741929 61164.7207776
2008-11-19 122329.4415552 18004.5187857277 15902.827402176 15902.827402176 40706.9984402476 3519.42870865496 2639.57153149122 17597.1435432748 81177.8174160307 8202.22455893072 21186.6714507489 56271.543115392
2008-11-20 119882.852724096 17618.2091185469 17126.121817728 17126.121817728 39614.0232610556 3428.69988302388 2571.52491226791 17143.4994151194 57396.9739776998 7982.70074726304 20873.8833267954 53824.954284288
2008-11-21 117436.263892992 17129.8609477469 18349.41623328 18349.41623328 38241.0818709905 3314.58708539693 2485.9403140477 16572.9354269846 46313.9265727987 7706.91788934135 20475.3730136689 51378.365453184
2008-11-22 112543.086230784 17031.4369407088 18349.41623328 18349.41623328 37965.5693620041 3291.6679529394 2468.75096470455 16458.339764697 40833.5675911258 7651.57183638033 20394.6253856992 48931.77662208
2008-11-23 107649.908568576 16833.8123494857 18349.41623328 18349.41623328 37413.5965866899 3245.73058048891 2434.29793536668 16228.6529024445 37824.2633288678 7540.68541380103 20232.048640223 48931.77662208
2008-11-24 107649.908568576 16535.3901071192 15902.827402176 15902.827402176 36583.2216905765 3176.5717565643 2382.42881742322 15882.8587828215 34447.9707419443 7373.86046364299 19985.4083973916 46485.187790976
2008-11-25 100310.142075264 16234.5119491655 15902.827402176 15902.827402176 35749.8706288504 3107.10127561788 2330.32595671341 15535.5063780894 32539.6314536832 7206.42524779516 19735.3180083065 44038.598959872
2008-11-26 100310.142075264 16133.6585162941 14679.532986624 14679.532986624 35471.4098984446 3083.87349932455 2312.90512449341 15419.3674966227 31169.541708265 7150.47467280553 19651.1633234784 41592.010128768
2008-11-27 95416.964413056 16133.6585162941 14679.532986624 14679.532986624 35471.4098984446 3083.87349932455 2312.90512449341 15419.3674966227 29432.4636381811 7150.47467280553 19651.1633234784 39145.421297664
2008-11-28 92970.375581952 15931.0904411692 13456.238571072 13456.238571072 34913.451840198 3037.30925031463 2277.98193773597 15186.5462515732 28478.2939940506 7038.36094450572 19481.6339536612 39145.421297664
2008-11-29 88077.197919744 15727.3507486721 13456.238571072 13456.238571072 34354.0873559061 2990.5974460215 2242.94808451613 14952.9872301075 26545.4888174784 6925.95878355384 19310.4393292125 36698.83246656
2008-11-30 88077.197919744 15625.0325085133 12232.94415552 12232.94415552 34073.8683185573 2967.18519546746 2225.3888966006 14835.9259773373 24637.1495292173 6869.64761126466 19224.2025589339 36698.83246656
2008-12-01 88077.197919744 15522.4103601144 12232.94415552 12232.94415552 33793.2862597294 2943.73482111885 2207.80111583914 14718.6741055943 23315.9915604211 6813.26198394696 19137.5312011195 36698.83246656
2008-12-02 85630.60908864 15419.4804654307 11865.9558308544 11865.9558308544 33512.3372116187 2920.2458934103 2190.18442005772 14601.2294670515 23095.7985656218 6756.80108579368 19050.4188550646 34252.243635456
2008-12-03 83184.020257536 15212.6816509111 11131.9791815232 11131.9791815232 32949.3218621027 2873.15061406245 2154.86296054684 14365.7530703123 22337.3560279795 6643.65012847013 18874.8448024781 34252.243635456
2008-12-04 83184.020257536 15212.6816509111 11254.3086230784 11254.3086230784 32949.3218621027 2873.15061406245 2154.86296054684 14365.7530703123 27352.8631317427 6643.65012847013 18874.8448024781 36698.83246656
2008-12-05 78290.842595328 15108.804612331 11254.3086230784 11254.3086230784 32667.2472031556 2849.54335684556 2137.15751763417 14247.7167842278 90939.7068521357 6586.95835081633 18786.3694849714 34252.243635456
2008-12-06 78290.842595328 15108.804612331 11131.9791815232 11131.9791815232 32667.2472031556 2849.54335684556 2137.15751763417 14247.7167842278 166661.631174804 6586.95835081633 18786.3694849714 34252.243635456
2008-12-07 78290.842595328 15035.8981652599 10642.6614153024 10642.6614153024 32469.5668949111 2832.9942877785 2124.74571583388 14164.9714388925 275950.75426022 6547.22732818632 18724.1585982393 34252.243635456
2008-12-08 78290.842595328 14973.2794574822 10398.002532192 10398.002532192 32299.9758442533 2818.79350545854 2114.09512909391 14093.9675272927 354828.778175013 6513.14123510692 18670.6505021938 34252.243635456
2008-12-09 75844.253764224 14858.1696376937 9786.355324416 9786.355324416 31988.6940788432 2792.72033809447 2094.54025357085 13963.6016904723 26566.0141064535 6450.57522329579 18572.104547137 31805.654804352
2008-12-10 78290.842595328 14753.1733014977 9908.6847659712 9908.6847659712 31705.2966471149 2768.97386977913 2076.73040233435 13844.8693488957 26297.3539425119 6393.61210103595 18482.0073562934 31805.654804352
2008-12-11 75844.253764224 14742.6550974299 10153.3436490816 10153.3436490816 31676.9350315885 2766.59691951278 2074.94768963459 13832.9845975639 26270.4859368916 6387.91130182221 18472.9706162658 31805.654804352
2008-12-12 78290.842595328 14837.1972726717 10642.6614153024 10642.6614153024 31932.0462952511 2787.97438277089 2090.98078707817 13939.8719138545 26512.2849580337 6439.18910242533 18554.1242268557 29359.065973248
2008-12-13 78290.842595328 14962.8314960208 11498.9675061888 11498.9675061888 32271.6970645244 2816.42527667183 2112.31895750387 14082.1263833592 26834.6383650178 6507.4574288413 18661.7158110033 29359.065973248
2008-12-14 75844.253764224 15004.6035840021 11743.6263892992 11743.6263892992 32384.7888344586 2825.89573451407 2119.42180088555 14129.4786725703 26942.0780978223 6530.18786425047 18697.4259456004 29359.065973248
2008-12-15 78290.842595328 15108.804612331 12232.94415552 12232.94415552 32667.2472031556 2849.54335684556 2137.15751763417 14247.7167842278 27210.6527069165 6586.95835081633 18786.3694849714 29359.065973248
2008-12-16 73397.66493312 14952.3802342835 11009.649739968 11009.649739968 32243.4143858283 2814.05663752398 2110.54247814299 14070.2831876199 26807.7775443308 6501.77282276393 18652.7763357956 29359.065973248
2008-12-17 66057.898439808 14795.2122619806 9908.6847659712 9908.6847659712 31818.7032481177 2778.47747266602 2083.85810449951 13892.3873633301 26404.8223406599 6416.40712056741 18518.1050325949 29359.065973248
2008-12-18 75844.253764224 14795.2122619806 11131.9791815232 11131.9791815232 31818.7032481177 2778.47747266602 2083.85810449951 13892.3873633301 26404.8223406599 6416.40712056741 18518.1050325949 29359.065973248
2008-12-19 80737.431426432 14858.1696376937 13456.238571072 13456.238571072 31988.6940788432 2792.72033809447 2094.54025357085 13963.6016904723 26566.0141064535 6450.57522329579 18572.104547137 29359.065973248
2008-12-20 75844.253764224 14941.9256678755 12232.94415552 12232.94415552 32215.1278036683 2811.68758752718 2108.76569064539 14058.4379376359 26780.9163679196 6496.08741595011 18643.8320691483 29359.065973248
2008-12-21 92970.375581952 15087.9904619665 18349.41623328 18349.41623328 32610.7863658256 2844.81707672858 2133.61280754643 14224.0853836429 27156.9405990671 6575.61057892843 18768.6184640515 36698.83246656
2008-12-22 90523.786750848 16032.5191619643 20796.005064384 20796.005064384 35192.6048324969 3060.60962026255 2295.45721519692 15303.0481013128 29626.2884832528 7094.45348444166 19566.6038677348 51378.365453184
2008-12-23 83184.020257536 16032.5191619643 15902.827402176 15902.827402176 35192.6048324969 3060.60962026255 2295.45721519692 15303.0481013128 29626.2884832528 7094.45348444166 19566.6038677348 44038.598959872
2008-12-24 85630.60908864 16133.6585162941 15902.827402176 15902.827402176 35471.4098984446 3083.87349932455 2312.90512449341 15419.3674966227 29894.527787412 7150.47467280553 19651.1633234784 46485.187790976
2008-12-25 92970.375581952 16635.1329026886 23242.593895488 23242.593895488 36860.3396343306 3199.65885442893 2399.74414082169 15998.2942721446 31235.252915387 7429.53568869509 20067.9983483091 48931.77662208
2008-12-26 83184.020257536 16535.3901071192 15902.827402176 15902.827402176 36583.2216905765 3176.5717565643 2382.42881742322 15882.8587828215 30967.1698002141 7373.86046364299 19985.4083973916 41592.010128768
2008-12-27 90523.786750848 16234.5119491655 14679.532986624 14679.532986624 35749.8706288504 3107.10127561788 2330.32595671341 15535.5063780894 30162.7352834944 7206.42524779516 19735.3180083065 41592.010128768
2008-12-28 251998.649603712 20792.7035027947 85630.60908864 85630.60908864 48767.7209473874 4185.68292035891 3139.26219026918 20928.4146017946 43004.0104868706 9820.65939223962 23385.2226492347 229979.350123776
2008-12-29 259338.416097024 39246.8689928052 91747.0811664 91747.0811664 108225.762320475 8994.58595448053 6745.93946586039 44972.9297724026 106892.043475735 21737.8422615154 36152.0043915073 347415.614016768
2008-12-30 181047.573501696 40654.3502056664 53824.954284288 53824.954284288 113118.064323876 9384.40894141175 7038.30670605881 46922.0447070587 112428.80845054 22717.2361035683 37036.1249375097 212853.228306048
2008-12-31 137008.974541824 31001.4783152588 37922.126882112 37922.126882112 80502.3223369078 6770.95758175291 5078.21818631468 33854.7879087645 76233.1716368479 16184.9316793216 30753.6994322362 134562.38571072
2009-01-01 137008.974541824 26650.2876359271 36698.83246656 36698.83246656 66587.2387905373 5643.67015885932 4232.75261914449 28218.3507942966 61376.8683563028 13395.5537998492 27724.1211581725 119882.852724096
2009-01-02 313163.370381312 37056.9379280685 74620.959348672 74620.959348672 100702.681220436 8393.73744364993 6295.30308273745 41968.6872182496 98447.700527262 20231.5081061413 34756.2718952981 278911.126745856
